id,Category,neck_collar,occasion,surface_styling
51664,Women Tops & Tunics,sweetheart neck,casual,ruffles
51733,Women Tops & Tunics,sweetheart neck,casual,knitted
51768,Women Tops & Tunics,sweetheart neck,casual,knitted
51777,Women Tops & Tunics,sweetheart neck,casual,knitted
51977,Women Tops & Tunics,sweetheart neck,casual,default
52236,Women Tops & Tunics,sweetheart neck,casual,knitted
52310,Women Tops & Tunics,sweetheart neck,casual,default
52335,Women Tops & Tunics,sweetheart neck,casual,knitted
52426,Women Tops & Tunics,sweetheart neck,casual,knitted
52535,Women Tops & Tunics,sweetheart neck,casual,knitted
52560,Women Tops & Tunics,sweetheart neck,casual,ruffles
52786,Women Tops & Tunics,sweetheart neck,casual,knitted
52827,Women Tops & Tunics,sweetheart neck,casual,knitted
52890,Women Tops & Tunics,sweetheart neck,casual,default
52972,Women Tops & Tunics,sweetheart neck,casual,knitted
53147,Women Tops & Tunics,sweetheart neck,casual,waist tie-ups
53276,Women Tops & Tunics,sweetheart neck,casual,ruffles
53295,Women Tops & Tunics,sweetheart neck,casual,knitted
53343,Women Tops & Tunics,sweetheart neck,casual,ruffles
53601,Women Tops & Tunics,sweetheart neck,casual,knitted
53603,Women Tops & Tunics,sweetheart neck,casual,knitted
53628,Women Tops & Tunics,sweetheart neck,casual,default
53648,Women Tops & Tunics,sweetheart neck,casual,knitted
53727,Women Tops & Tunics,sweetheart neck,casual,default
53793,Women Tops & Tunics,sweetheart neck,casual,ruffles
53830,Women Tops & Tunics,sweetheart neck,casual,knitted
53962,Women Tops & Tunics,sweetheart neck,casual,knitted
53968,Women Tops & Tunics,sweetheart neck,casual,knitted
54026,Women Tops & Tunics,sweetheart neck,casual,ruffles
54203,Women Tops & Tunics,sweetheart neck,casual,knitted
54251,Women Tops & Tunics,sweetheart neck,casual,ruffles
54596,Women Tops & Tunics,sweetheart neck,casual,knitted
54886,Women Tops & Tunics,sweetheart neck,casual,knitted
54921,Women Tops & Tunics,sweetheart neck,casual,ruffles
54943,Women Tops & Tunics,sweetheart neck,casual,default
54981,Women Tops & Tunics,sweetheart neck,casual,default
55003,Women Tops & Tunics,sweetheart neck,casual,knitted
55202,Women Tops & Tunics,sweetheart neck,casual,knitted
55261,Women Tops & Tunics,sweetheart neck,casual,ruffles
55300,Women Tops & Tunics,sweetheart neck,casual,tie-ups
55371,Women Tops & Tunics,sweetheart neck,casual,ruffles
55524,Women Tops & Tunics,sweetheart neck,casual,knitted
55654,Women Tops & Tunics,sweetheart neck,casual,ruffles
55706,Women Tops & Tunics,sweetheart neck,casual,ruffles
55739,Women Tops & Tunics,sweetheart neck,casual,knitted
55774,Women Tops & Tunics,sweetheart neck,casual,knitted
55776,Women Tops & Tunics,sweetheart neck,casual,knitted
55826,Women Tops & Tunics,sweetheart neck,casual,knitted
55922,Women Tops & Tunics,sweetheart neck,casual,default
55962,Women Tops & Tunics,sweetheart neck,casual,knitted
56065,Women Tops & Tunics,sweetheart neck,casual,ruffles
56121,Women Tops & Tunics,sweetheart neck,casual,default
56326,Women Tops & Tunics,sweetheart neck,casual,ruffles
56441,Women Tops & Tunics,sweetheart neck,casual,knitted
56618,Women Tops & Tunics,sweetheart neck,casual,ruffles
56727,Women Tops & Tunics,sweetheart neck,casual,ruffles
57383,Women Tops & Tunics,sweetheart neck,casual,knitted
57539,Women Tops & Tunics,sweetheart neck,casual,default
57540,Women Tops & Tunics,sweetheart neck,casual,ruffles
57604,Women Tops & Tunics,sweetheart neck,casual,ruffles
57608,Women Tops & Tunics,sweetheart neck,casual,ruffles
57741,Women Tops & Tunics,sweetheart neck,casual,ruffles
57955,Women Tops & Tunics,sweetheart neck,casual,knitted
58013,Women Tops & Tunics,sweetheart neck,casual,ruffles
58248,Women Tops & Tunics,sweetheart neck,casual,ruffles
58279,Women Tops & Tunics,sweetheart neck,casual,ruffles
58346,Women Tops & Tunics,sweetheart neck,casual,knitted
58414,Women Tops & Tunics,sweetheart neck,casual,knitted
58441,Women Tops & Tunics,sweetheart neck,casual,ruffles
58505,Women Tops & Tunics,sweetheart neck,casual,default
58579,Women Tops & Tunics,sweetheart neck,casual,knitted
58638,Women Tops & Tunics,sweetheart neck,casual,knitted
58702,Women Tops & Tunics,sweetheart neck,casual,default
58705,Women Tops & Tunics,sweetheart neck,casual,knitted
58761,Women Tops & Tunics,sweetheart neck,casual,knitted
58788,Women Tops & Tunics,sweetheart neck,casual,tie-ups
58794,Women Tops & Tunics,sweetheart neck,casual,knitted
58870,Women Tops & Tunics,sweetheart neck,casual,knitted
58923,Women Tops & Tunics,sweetheart neck,casual,default
59029,Women Tops & Tunics,sweetheart neck,casual,knitted
59064,Women Tops & Tunics,sweetheart neck,casual,ruffles
59082,Women Tops & Tunics,sweetheart neck,casual,default
59232,Women Tops & Tunics,sweetheart neck,casual,default
59424,Women Tops & Tunics,sweetheart neck,casual,knitted
59519,Women Tops & Tunics,sweetheart neck,casual,knitted
59639,Women Tops & Tunics,sweetheart neck,casual,ruffles
59660,Women Tops & Tunics,sweetheart neck,casual,ruffles
59812,Women Tops & Tunics,sweetheart neck,casual,knitted
59971,Women Tops & Tunics,sweetheart neck,casual,knitted
60218,Women Tops & Tunics,sweetheart neck,casual,knitted
60240,Women Tops & Tunics,sweetheart neck,casual,default
60528,Women Tops & Tunics,sweetheart neck,casual,waist tie-ups
60699,Women Tops & Tunics,sweetheart neck,casual,knitted
60811,Women Tops & Tunics,sweetheart neck,casual,applique
60812,Women Tops & Tunics,sweetheart neck,casual,knitted
60865,Women Tops & Tunics,sweetheart neck,casual,ruffles
61038,Women Tops & Tunics,sweetheart neck,casual,ruffles
61134,Women Tops & Tunics,sweetheart neck,casual,ruffles
61177,Women Tops & Tunics,sweetheart neck,casual,knitted
61191,Women Tops & Tunics,sweetheart neck,casual,knitted
61284,Women Tops & Tunics,sweetheart neck,casual,knitted
61488,Women Tops & Tunics,sweetheart neck,casual,ruffles
61502,Women Tops & Tunics,sweetheart neck,casual,tie-ups
61547,Women Tops & Tunics,sweetheart neck,casual,knitted
61617,Women Tops & Tunics,sweetheart neck,casual,default
61991,Women Tops & Tunics,sweetheart neck,casual,knitted
62023,Women Tops & Tunics,sweetheart neck,casual,knitted
62231,Women Tops & Tunics,sweetheart neck,casual,default
62290,Women Tops & Tunics,sweetheart neck,casual,ruffles
62294,Women Tops & Tunics,sweetheart neck,casual,ruffles
62539,Women Tops & Tunics,sweetheart neck,casual,knitted
62965,Women Tops & Tunics,sweetheart neck,casual,default
63016,Women Tops & Tunics,sweetheart neck,casual,ruffles
63031,Women Tops & Tunics,sweetheart neck,casual,knitted
63041,Women Tops & Tunics,sweetheart neck,casual,ruffles
63073,Women Tops & Tunics,sweetheart neck,casual,default
63133,Women Tops & Tunics,sweetheart neck,casual,waist tie-ups
63177,Women Tops & Tunics,sweetheart neck,casual,knitted
63318,Women Tops & Tunics,sweetheart neck,casual,default
63404,Women Tops & Tunics,sweetheart neck,casual,knitted
63433,Women Tops & Tunics,sweetheart neck,casual,default
63505,Women Tops & Tunics,sweetheart neck,casual,default
63546,Women Tops & Tunics,sweetheart neck,casual,ruffles
63598,Women Tops & Tunics,sweetheart neck,casual,knitted
63613,Women Tops & Tunics,sweetheart neck,casual,knitted
63667,Women Tops & Tunics,sweetheart neck,casual,default
63686,Women Tops & Tunics,sweetheart neck,casual,ruffles
63698,Women Tops & Tunics,sweetheart neck,casual,ruffles
63789,Women Tops & Tunics,sweetheart neck,casual,ruffles
63796,Women Tops & Tunics,sweetheart neck,casual,ruffles
63811,Women Tops & Tunics,sweetheart neck,casual,ruffles
63831,Women Tops & Tunics,sweetheart neck,casual,ruffles
63842,Women Tops & Tunics,sweetheart neck,casual,default
63876,Women Tops & Tunics,sweetheart neck,party,default
63983,Women Tops & Tunics,sweetheart neck,casual,default
64007,Women Tops & Tunics,sweetheart neck,casual,knitted
64017,Women Tops & Tunics,sweetheart neck,casual,knitted
64276,Women Tops & Tunics,sweetheart neck,casual,default
64371,Women Tops & Tunics,sweetheart neck,casual,default
64488,Women Tops & Tunics,sweetheart neck,casual,knitted
64529,Women Tops & Tunics,sweetheart neck,casual,ruffles
64575,Women Tops & Tunics,sweetheart neck,casual,knitted
64645,Women Tops & Tunics,sweetheart neck,casual,knitted
64700,Women Tops & Tunics,sweetheart neck,casual,ruffles
64724,Women Tops & Tunics,sweetheart neck,casual,knitted
65006,Women Tops & Tunics,sweetheart neck,casual,ruffles
65019,Women Tops & Tunics,sweetheart neck,casual,default
65119,Women Tops & Tunics,sweetheart neck,casual,knitted
65156,Women Tops & Tunics,sweetheart neck,casual,ruffles
65323,Women Tops & Tunics,sweetheart neck,casual,default
65377,Women Tops & Tunics,sweetheart neck,casual,ruffles
65475,Women Tops & Tunics,sweetheart neck,casual,knitted
65482,Women Tops & Tunics,sweetheart neck,casual,default
65600,Women Tops & Tunics,sweetheart neck,casual,default
65635,Women Tops & Tunics,sweetheart neck,casual,knitted
65639,Women Tops & Tunics,sweetheart neck,casual,knitted
65766,Women Tops & Tunics,sweetheart neck,casual,knitted
65800,Women Tops & Tunics,sweetheart neck,casual,knitted
65848,Women Tops & Tunics,sweetheart neck,casual,ruffles
65878,Women Tops & Tunics,sweetheart neck,casual,knitted
66080,Women Tops & Tunics,sweetheart neck,casual,ruffles
66451,Women Tops & Tunics,sweetheart neck,casual,ruffles
66540,Women Tops & Tunics,sweetheart neck,casual,tie-ups
66731,Women Tops & Tunics,sweetheart neck,casual,knitted
66732,Women Tops & Tunics,sweetheart neck,casual,tie-ups
66739,Women Tops & Tunics,sweetheart neck,casual,knitted
66777,Women Tops & Tunics,sweetheart neck,casual,ruffles
66996,Women Tops & Tunics,sweetheart neck,casual,knitted
67051,Women Tops & Tunics,sweetheart neck,casual,ruffles
67218,Women Tops & Tunics,sweetheart neck,casual,knitted
67373,Women Tops & Tunics,sweetheart neck,casual,knitted
67410,Women Tops & Tunics,sweetheart neck,casual,default
67427,Women Tops & Tunics,sweetheart neck,casual,ruffles
67497,Women Tops & Tunics,sweetheart neck,casual,knitted
67667,Women Tops & Tunics,sweetheart neck,casual,ruffles
67842,Women Tops & Tunics,sweetheart neck,casual,knitted
67868,Women Tops & Tunics,sweetheart neck,casual,knitted
67901,Women Tops & Tunics,sweetheart neck,casual,knitted
67923,Women Tops & Tunics,sweetheart neck,casual,ruffles
68026,Women Tops & Tunics,sweetheart neck,casual,knitted
68035,Women Tops & Tunics,sweetheart neck,casual,ruffles
68276,Women Tops & Tunics,sweetheart neck,casual,knitted
68338,Women Tops & Tunics,sweetheart neck,casual,ruffles
68411,Women Tops & Tunics,sweetheart neck,casual,knitted
68420,Women Tops & Tunics,sweetheart neck,casual,knitted
68545,Women Tops & Tunics,sweetheart neck,casual,knitted
68590,Women Tops & Tunics,sweetheart neck,casual,knitted
68618,Women Tops & Tunics,sweetheart neck,casual,knitted
68652,Women Tops & Tunics,sweetheart neck,casual,knitted
68689,Women Tops & Tunics,sweetheart neck,casual,ruffles
68817,Women Tops & Tunics,sweetheart neck,casual,default
68826,Women Tops & Tunics,sweetheart neck,casual,ruffles
69213,Women Tops & Tunics,sweetheart neck,casual,ruffles
69414,Women Tops & Tunics,sweetheart neck,casual,tie-ups
69494,Women Tops & Tunics,sweetheart neck,casual,knitted
69623,Women Tops & Tunics,sweetheart neck,casual,knitted
69781,Women Tops & Tunics,sweetheart neck,casual,knitted
69833,Women Tops & Tunics,sweetheart neck,casual,knitted
69918,Women Tops & Tunics,sweetheart neck,casual,ruffles
69956,Women Tops & Tunics,sweetheart neck,casual,knitted
70045,Women Tops & Tunics,sweetheart neck,casual,knitted
70047,Women Tops & Tunics,sweetheart neck,casual,knitted
70139,Women Tops & Tunics,sweetheart neck,casual,ruffles
70196,Women Tops & Tunics,sweetheart neck,casual,knitted
70214,Women Tops & Tunics,sweetheart neck,casual,ruffles
70215,Women Tops & Tunics,sweetheart neck,casual,knitted
70229,Women Tops & Tunics,sweetheart neck,casual,ruffles
70317,Women Tops & Tunics,sweetheart neck,casual,knitted
70332,Women Tops & Tunics,sweetheart neck,casual,knitted
51580,Women Tops & Tunics,square neck,casual,knitted
51610,Women Tops & Tunics,square neck,casual,knitted
51661,Women Tops & Tunics,square neck,casual,knitted
51757,Women Tops & Tunics,square neck,casual,ruffles
51771,Women Tops & Tunics,square neck,casual,knitted
51826,Women Tops & Tunics,square neck,casual,ruffles
51872,Women Tops & Tunics,square neck,casual,ruffles
51896,Women Tops & Tunics,square neck,casual,knitted
51917,Women Tops & Tunics,square neck,casual,knitted
52051,Women Tops & Tunics,square neck,casual,knitted
52103,Women Tops & Tunics,square neck,casual,knitted
52153,Women Tops & Tunics,square neck,casual,knitted
52158,Women Tops & Tunics,square neck,casual,knitted
52163,Women Tops & Tunics,square neck,casual,knitted
52229,Women Tops & Tunics,square neck,casual,knitted
52237,Women Tops & Tunics,square neck,casual,default
52274,Women Tops & Tunics,square neck,casual,default
52302,Women Tops & Tunics,square neck,casual,tie-ups
52304,Women Tops & Tunics,square neck,casual,knitted
52420,Women Tops & Tunics,square neck,casual,ruffles
52474,Women Tops & Tunics,square neck,casual,knitted
52491,Women Tops & Tunics,square neck,casual,ruffles
52541,Women Tops & Tunics,square neck,casual,knitted
52548,Women Tops & Tunics,square neck,casual,default
52587,Women Tops & Tunics,square neck,casual,knitted
52633,Women Tops & Tunics,square neck,casual,knitted
52891,Women Tops & Tunics,square neck,casual,ruffles
52940,Women Tops & Tunics,square neck,casual,ruffles
53429,Women Tops & Tunics,square neck,casual,knitted
53514,Women Tops & Tunics,square neck,casual,knitted
53515,Women Tops & Tunics,square neck,casual,knitted
53516,Women Tops & Tunics,square neck,casual,knitted
53563,Women Tops & Tunics,square neck,casual,knitted
53661,Women Tops & Tunics,square neck,casual,knitted
53665,Women Tops & Tunics,square neck,casual,knitted
53776,Women Tops & Tunics,square neck,casual,ruffles
53950,Women Tops & Tunics,square neck,casual,tie-ups
53977,Women Tops & Tunics,square neck,casual,default
54065,Women Tops & Tunics,square neck,casual,applique
54079,Women Tops & Tunics,square neck,casual,knitted
54131,Women Tops & Tunics,square neck,casual,default
54176,Women Tops & Tunics,square neck,party,knitted
54256,Women Tops & Tunics,square neck,casual,default
54402,Women Tops & Tunics,square neck,casual,default
54485,Women Tops & Tunics,square neck,casual,waist tie-ups
54571,Women Tops & Tunics,square neck,casual,ruffles
54733,Women Tops & Tunics,square neck,casual,knitted
55013,Women Tops & Tunics,square neck,casual,waist tie-ups
55158,Women Tops & Tunics,square neck,casual,ruffles
55187,Women Tops & Tunics,square neck,party,waist tie-ups
55356,Women Tops & Tunics,square neck,casual,knitted
55374,Women Tops & Tunics,square neck,casual,knitted
55497,Women Tops & Tunics,square neck,casual,knitted
55772,Women Tops & Tunics,square neck,casual,knitted
55936,Women Tops & Tunics,square neck,casual,knitted
56029,Women Tops & Tunics,square neck,casual,waist tie-ups
56046,Women Tops & Tunics,square neck,casual,knitted
56074,Women Tops & Tunics,square neck,casual,tie-ups
56200,Women Tops & Tunics,square neck,casual,knitted
56412,Women Tops & Tunics,square neck,casual,knitted
56591,Women Tops & Tunics,square neck,casual,knitted
56629,Women Tops & Tunics,square neck,casual,knitted
56644,Women Tops & Tunics,square neck,casual,default
56656,Women Tops & Tunics,square neck,casual,knitted
57083,Women Tops & Tunics,square neck,casual,knitted
57133,Women Tops & Tunics,square neck,casual,ruffles
57175,Women Tops & Tunics,square neck,casual,knitted
57179,Women Tops & Tunics,square neck,casual,knitted
57180,Women Tops & Tunics,square neck,casual,knitted
57324,Women Tops & Tunics,square neck,casual,applique
57362,Women Tops & Tunics,square neck,casual,ruffles
57465,Women Tops & Tunics,square neck,casual,knitted
57538,Women Tops & Tunics,square neck,casual,ruffles
57609,Women Tops & Tunics,square neck,casual,knitted
57633,Women Tops & Tunics,square neck,casual,tie-ups
57744,Women Tops & Tunics,square neck,casual,ruffles
57890,Women Tops & Tunics,square neck,casual,tie-ups
57917,Women Tops & Tunics,square neck,casual,knitted
58255,Women Tops & Tunics,square neck,casual,knitted
58269,Women Tops & Tunics,square neck,casual,knitted
58351,Women Tops & Tunics,square neck,casual,knitted
58397,Women Tops & Tunics,square neck,casual,knitted
58584,Women Tops & Tunics,square neck,casual,knitted
58789,Women Tops & Tunics,square neck,casual,knitted
58834,Women Tops & Tunics,square neck,casual,ruffles
59119,Women Tops & Tunics,square neck,casual,knitted
59244,Women Tops & Tunics,square neck,casual,knitted
59262,Women Tops & Tunics,square neck,casual,knitted
59460,Women Tops & Tunics,square neck,casual,ruffles
59657,Women Tops & Tunics,square neck,casual,default
59719,Women Tops & Tunics,square neck,casual,ruffles
59798,Women Tops & Tunics,square neck,casual,knitted
59801,Women Tops & Tunics,square neck,casual,ruffles
59819,Women Tops & Tunics,square neck,casual,knitted
59822,Women Tops & Tunics,square neck,casual,waist tie-ups
59897,Women Tops & Tunics,square neck,casual,knitted
60005,Women Tops & Tunics,square neck,casual,knitted
60080,Women Tops & Tunics,square neck,casual,knitted
60102,Women Tops & Tunics,square neck,casual,knitted
60193,Women Tops & Tunics,square neck,casual,knitted
60256,Women Tops & Tunics,square neck,party,ruffles
60516,Women Tops & Tunics,square neck,casual,knitted
60584,Women Tops & Tunics,square neck,casual,ruffles
60860,Women Tops & Tunics,square neck,casual,knitted
60984,Women Tops & Tunics,square neck,casual,knitted
61181,Women Tops & Tunics,square neck,casual,knitted
61268,Women Tops & Tunics,square neck,casual,knitted
61297,Women Tops & Tunics,square neck,casual,ruffles
61376,Women Tops & Tunics,square neck,casual,knitted
61387,Women Tops & Tunics,square neck,casual,knitted
61411,Women Tops & Tunics,square neck,casual,ruffles
61567,Women Tops & Tunics,square neck,casual,ruffles
61872,Women Tops & Tunics,square neck,casual,knitted
62170,Women Tops & Tunics,square neck,casual,knitted
62254,Women Tops & Tunics,square neck,casual,knitted
62383,Women Tops & Tunics,square neck,casual,knitted
62424,Women Tops & Tunics,square neck,casual,ruffles
62457,Women Tops & Tunics,square neck,casual,knitted
62944,Women Tops & Tunics,square neck,casual,applique
62979,Women Tops & Tunics,square neck,casual,ruffles
63025,Women Tops & Tunics,square neck,casual,ruffles
63093,Women Tops & Tunics,square neck,casual,knitted
63254,Women Tops & Tunics,square neck,casual,knitted
63257,Women Tops & Tunics,square neck,casual,knitted
63277,Women Tops & Tunics,square neck,casual,ruffles
63454,Women Tops & Tunics,square neck,party,applique
63687,Women Tops & Tunics,square neck,casual,knitted
63959,Women Tops & Tunics,square neck,casual,knitted
64243,Women Tops & Tunics,square neck,casual,knitted
64275,Women Tops & Tunics,square neck,casual,knitted
64285,Women Tops & Tunics,square neck,casual,applique
64395,Women Tops & Tunics,square neck,casual,knitted
64511,Women Tops & Tunics,square neck,casual,ruffles
64520,Women Tops & Tunics,square neck,casual,knitted
64532,Women Tops & Tunics,square neck,casual,knitted
64583,Women Tops & Tunics,square neck,casual,knitted
64589,Women Tops & Tunics,square neck,casual,knitted
64605,Women Tops & Tunics,square neck,casual,ruffles
64728,Women Tops & Tunics,square neck,casual,knitted
64886,Women Tops & Tunics,square neck,casual,knitted
64890,Women Tops & Tunics,square neck,casual,default
65022,Women Tops & Tunics,square neck,casual,default
65064,Women Tops & Tunics,square neck,casual,default
65181,Women Tops & Tunics,square neck,casual,tie-ups
65234,Women Tops & Tunics,square neck,casual,knitted
65300,Women Tops & Tunics,square neck,casual,knitted
65745,Women Tops & Tunics,square neck,casual,tie-ups
65799,Women Tops & Tunics,square neck,casual,ruffles
66013,Women Tops & Tunics,square neck,casual,ruffles
66043,Women Tops & Tunics,square neck,casual,waist tie-ups
66098,Women Tops & Tunics,square neck,casual,knitted
66237,Women Tops & Tunics,square neck,casual,knitted
66295,Women Tops & Tunics,square neck,casual,knitted
66300,Women Tops & Tunics,square neck,casual,knitted
66309,Women Tops & Tunics,square neck,casual,knitted
66481,Women Tops & Tunics,square neck,casual,ruffles
66653,Women Tops & Tunics,square neck,casual,knitted
66794,Women Tops & Tunics,square neck,casual,ruffles
66983,Women Tops & Tunics,square neck,casual,ruffles
67401,Women Tops & Tunics,square neck,casual,knitted
67622,Women Tops & Tunics,square neck,casual,knitted
67725,Women Tops & Tunics,square neck,casual,waist tie-ups
67746,Women Tops & Tunics,square neck,casual,default
67807,Women Tops & Tunics,square neck,casual,ruffles
67884,Women Tops & Tunics,square neck,casual,default
67902,Women Tops & Tunics,square neck,casual,knitted
67939,Women Tops & Tunics,square neck,casual,knitted
67958,Women Tops & Tunics,square neck,casual,knitted
67968,Women Tops & Tunics,square neck,casual,ruffles
68032,Women Tops & Tunics,square neck,casual,knitted
68076,Women Tops & Tunics,square neck,casual,knitted
68078,Women Tops & Tunics,square neck,casual,knitted
68234,Women Tops & Tunics,square neck,casual,default
68357,Women Tops & Tunics,square neck,casual,tie-ups
68437,Women Tops & Tunics,square neck,casual,waist tie-ups
68459,Women Tops & Tunics,square neck,casual,default
68695,Women Tops & Tunics,square neck,casual,knitted
68726,Women Tops & Tunics,square neck,casual,knitted
68727,Women Tops & Tunics,square neck,casual,tie-ups
68764,Women Tops & Tunics,square neck,casual,knitted
68835,Women Tops & Tunics,square neck,casual,ruffles
68845,Women Tops & Tunics,square neck,casual,ruffles
68872,Women Tops & Tunics,square neck,casual,knitted
68940,Women Tops & Tunics,square neck,casual,ruffles
69021,Women Tops & Tunics,square neck,casual,knitted
69030,Women Tops & Tunics,square neck,casual,default
69059,Women Tops & Tunics,square neck,casual,waist tie-ups
69062,Women Tops & Tunics,square neck,casual,ruffles
69107,Women Tops & Tunics,square neck,casual,waist tie-ups
69133,Women Tops & Tunics,square neck,casual,ruffles
69221,Women Tops & Tunics,square neck,casual,knitted
69463,Women Tops & Tunics,square neck,casual,ruffles
69574,Women Tops & Tunics,square neck,casual,knitted
69644,Women Tops & Tunics,square neck,casual,knitted
69654,Women Tops & Tunics,square neck,casual,knitted
69708,Women Tops & Tunics,square neck,casual,knitted
69896,Women Tops & Tunics,square neck,casual,knitted
70087,Women Tops & Tunics,square neck,casual,knitted
70098,Women Tops & Tunics,square neck,casual,ruffles
70213,Women Tops & Tunics,square neck,casual,default
70244,Women Tops & Tunics,square neck,casual,knitted
70309,Women Tops & Tunics,square neck,casual,ruffles
70328,Women Tops & Tunics,square neck,party,knitted
70374,Women Tops & Tunics,square neck,casual,ruffles
51419,Women Tops & Tunics,round neck,casual,default
51431,Women Tops & Tunics,round neck,casual,waist tie-ups
51480,Women Tops & Tunics,round neck,casual,waist tie-ups
51589,Women Tops & Tunics,round neck,casual,default
51594,Women Tops & Tunics,round neck,casual,default
51615,Women Tops & Tunics,round neck,casual,default
51761,Women Tops & Tunics,round neck,casual,default
51866,Women Tops & Tunics,round neck,casual,waist tie-ups
51898,Women Tops & Tunics,round neck,casual,waist tie-ups
51909,Women Tops & Tunics,round neck,casual,tie-ups
51928,Women Tops & Tunics,round neck,casual,default
51933,Women Tops & Tunics,round neck,casual,default
51972,Women Tops & Tunics,round neck,casual,applique
52020,Women Tops & Tunics,round neck,casual,default
52077,Women Tops & Tunics,round neck,casual,default
52081,Women Tops & Tunics,round neck,casual,waist tie-ups
52193,Women Tops & Tunics,round neck,casual,default
52302,Women Tops & Tunics,square neck,casual,tie-ups
52305,Women Tops & Tunics,round neck,party,applique
52323,Women Tops & Tunics,round neck,casual,default
52334,Women Tops & Tunics,round neck,casual,tie-ups
52353,Women Tops & Tunics,round neck,casual,default
52367,Women Tops & Tunics,round neck,casual,ruffles
52371,Women Tops & Tunics,round neck,casual,tie-ups
52421,Women Tops & Tunics,round neck,casual,waist tie-ups
52467,Women Tops & Tunics,round neck,casual,ruffles
52522,Women Tops & Tunics,round neck,casual,knitted
52717,Women Tops & Tunics,round neck,casual,default
52779,Women Tops & Tunics,round neck,casual,default
52804,Women Tops & Tunics,round neck,casual,tie-ups
52920,Women Tops & Tunics,round neck,casual,default
52925,Women Tops & Tunics,round neck,casual,applique
53067,Women Tops & Tunics,round neck,casual,default
53085,Women Tops & Tunics,round neck,casual,waist tie-ups
53097,Women Tops & Tunics,round neck,casual,applique
53116,Women Tops & Tunics,round neck,casual,waist tie-ups
53121,Women Tops & Tunics,round neck,casual,ruffles
53169,Women Tops & Tunics,round neck,casual,applique
53171,Women Tops & Tunics,round neck,casual,waist tie-ups
53183,Women Tops & Tunics,round neck,casual,tie-ups
53235,Women Tops & Tunics,round neck,casual,default
53401,Women Tops & Tunics,round neck,casual,tie-ups
53457,Women Tops & Tunics,round neck,party,ruffles
53478,Women Tops & Tunics,round neck,casual,waist tie-ups
53485,Women Tops & Tunics,round neck,casual,default
