id,Category,fit_shape,length,sleeve_length,sleeve_styling
51661,Women Tops & Tunics,fitted,regular,three-quarter sleeves,default
51757,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
51771,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
51826,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
51872,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
51896,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
51917,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
52051,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
52103,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
52153,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
52158,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
52163,Women Tops & Tunics,fitted,crop,short sleeves,puff sleeves
52229,Women Tops & Tunics,fitted,crop,sleeveless,sleeveless
52237,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
52274,Women Tops & Tunics,default,crop,short sleeves,regular sleeves
52302,Women Tops & Tunics,regular,regular,long sleeves,regular sleeves
52304,Women Tops & Tunics,fitted,regular,three-quarter sleeves,default
52420,Women Tops & Tunics,fitted,crop,short sleeves,puff sleeves
52474,Women Tops & Tunics,fitted,crop,sleeveless,sleeveless
52491,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
52541,Women Tops & Tunics,fitted,regular,three-quarter sleeves,regular sleeves
52548,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
52587,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
52633,Women Tops & Tunics,fitted,crop,short sleeves,puff sleeves
52891,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
52940,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
53429,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
53514,Women Tops & Tunics,fitted,regular,three-quarter sleeves,regular sleeves
53515,Women Tops & Tunics,fitted,regular,three-quarter sleeves,default
53516,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
53563,Women Tops & Tunics,fitted,regular,three-quarter sleeves,default
53661,Women Tops & Tunics,fitted,regular,short sleeves,default
53665,Women Tops & Tunics,fitted,regular,three-quarter sleeves,default
53776,Women Tops & Tunics,regular,regular,short sleeves,default
53950,Women Tops & Tunics,regular,regular,three-quarter sleeves,regular sleeves
53977,Women Tops & Tunics,default,crop,long sleeves,regular sleeves
54065,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
54079,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
54131,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
54176,Women Tops & Tunics,regular,regular,short sleeves,regular sleeves
54256,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
54402,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
54485,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
54571,Women Tops & Tunics,fitted,regular,short sleeves,default
54733,Women Tops & Tunics,fitted,crop,sleeveless,sleeveless
55013,Women Tops & Tunics,default,regular,short sleeves,regular sleeves
55158,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
55187,Women Tops & Tunics,regular,regular,short sleeves,regular sleeves
55356,Women Tops & Tunics,fitted,regular,three-quarter sleeves,default
55374,Women Tops & Tunics,fitted,crop,short sleeves,puff sleeves
55497,Women Tops & Tunics,fitted,regular,short sleeves,default
55772,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
55936,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
56029,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
56046,Women Tops & Tunics,fitted,crop,sleeveless,sleeveless
56074,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
56200,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
56412,Women Tops & Tunics,fitted,regular,three-quarter sleeves,regular sleeves
56591,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
56629,Women Tops & Tunics,fitted,crop,short sleeves,puff sleeves
56644,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
56656,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
57083,Women Tops & Tunics,fitted,crop,short sleeves,puff sleeves
57133,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
57175,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
57179,Women Tops & Tunics,fitted,regular,short sleeves,default
57180,Women Tops & Tunics,fitted,regular,three-quarter sleeves,puff sleeves
57324,Women Tops & Tunics,default,regular,long sleeves,regular sleeves
57362,Women Tops & Tunics,fitted,regular,short sleeves,sleeveless
57465,Women Tops & Tunics,fitted,regular,three-quarter sleeves,regular sleeves
57538,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
57609,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
57633,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
57744,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
57890,Women Tops & Tunics,fitted,crop,short sleeves,default
57917,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
58255,Women Tops & Tunics,fitted,regular,three-quarter sleeves,regular sleeves
58269,Women Tops & Tunics,fitted,regular,short sleeves,default
58351,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
58397,Women Tops & Tunics,fitted,regular,short sleeves,default
58584,Women Tops & Tunics,regular,regular,three-quarter sleeves,puff sleeves
58789,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
58834,Women Tops & Tunics,fitted,regular,short sleeves,default
59119,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
59244,Women Tops & Tunics,fitted,regular,three-quarter sleeves,default
59262,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
59460,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
59657,Women Tops & Tunics,fitted,regular,short sleeves,default
59719,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
59798,Women Tops & Tunics,fitted,crop,short sleeves,puff sleeves
59801,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
59819,Women Tops & Tunics,fitted,regular,three-quarter sleeves,regular sleeves
59822,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
59897,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
60005,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
60080,Women Tops & Tunics,regular,regular,long sleeves,regular sleeves
60102,Women Tops & Tunics,fitted,regular,three-quarter sleeves,regular sleeves
60193,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
60256,Women Tops & Tunics,regular,crop,short sleeves,regular sleeves
60516,Women Tops & Tunics,fitted,regular,three-quarter sleeves,default
60584,Women Tops & Tunics,fitted,crop,short sleeves,puff sleeves
60860,Women Tops & Tunics,fitted,crop,sleeveless,sleeveless
60984,Women Tops & Tunics,fitted,regular,three-quarter sleeves,regular sleeves
61181,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
61268,Women Tops & Tunics,fitted,regular,three-quarter sleeves,regular sleeves
61297,Women Tops & Tunics,regular,regular,short sleeves,regular sleeves
61376,Women Tops & Tunics,regular,regular,three-quarter sleeves,puff sleeves
61387,Women Tops & Tunics,regular,regular,three-quarter sleeves,puff sleeves
61411,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
61567,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
61872,Women Tops & Tunics,default,regular,short sleeves,puff sleeves
62170,Women Tops & Tunics,fitted,crop,short sleeves,puff sleeves
62254,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
62383,Women Tops & Tunics,fitted,regular,short sleeves,default
62424,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
62457,Women Tops & Tunics,fitted,regular,short sleeves,default
62944,Women Tops & Tunics,regular,regular,long sleeves,regular sleeves
62979,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
63025,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63093,Women Tops & Tunics,fitted,regular,three-quarter sleeves,default
63254,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
63257,Women Tops & Tunics,fitted,regular,three-quarter sleeves,regular sleeves
63277,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63454,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
63687,Women Tops & Tunics,fitted,regular,three-quarter sleeves,default
63959,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
64243,Women Tops & Tunics,fitted,regular,three-quarter sleeves,default
64275,Women Tops & Tunics,fitted,regular,three-quarter sleeves,default
64285,Women Tops & Tunics,fitted,regular,short sleeves,default
64395,Women Tops & Tunics,fitted,regular,three-quarter sleeves,regular sleeves
64511,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
64520,Women Tops & Tunics,regular,regular,three-quarter sleeves,puff sleeves
64532,Women Tops & Tunics,fitted,regular,three-quarter sleeves,regular sleeves
64583,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
