id,Category,blouse_pattern,border,border_width,occassion,ornamentation,pallu_details,transparency
8013,Sarees,same as saree,woven design,big border,daily,,same as saree,no
8022,Sarees,same as saree,solid,small border,daily,,same as saree,no
8029,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
8032,Sarees,same as saree,zari,big border,party,,zari woven,no
8034,Sarees,same as border,woven design,big border,traditional,,same as saree,no
8037,Sarees,same as saree,woven design,,party,jacquard,woven design,no
8047,Sarees,same as saree,default,big border,traditional,,same as saree,no
8053,Sarees,same as saree,woven design,,party,jacquard,woven design,no
8067,Sarees,same as saree,temple border,big border,party,,zari woven,yes
8083,Sarees,same as saree,temple border,big border,party,,zari woven,yes
8088,Sarees,same as border,woven design,small border,traditional,,same as saree,no
8091,Sarees,same as saree,woven design,,party,jacquard,woven design,no
8093,Sarees,same as saree,zari,big border,party,,zari woven,no
8097,Sarees,same as saree,zari,small border,wedding,,same as saree,no
8099,Sarees,same as saree,woven design,small border,party,,same as saree,no
8102,Sarees,same as border,woven design,big border,wedding,,same as saree,no
8105,Sarees,same as saree,woven design,big border,daily,,same as saree,no
8113,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
8115,Sarees,same as border,temple border,big border,party,,zari woven,no
8130,Sarees,same as border,temple border,big border,party,,zari woven,no
8135,Sarees,same as saree,zari,big border,party,,zari woven,no
8148,Sarees,same as saree,zari,small border,party,,same as saree,no
8152,Sarees,same as saree,zari,big border,daily,,default,no
8161,Sarees,same as border,temple border,big border,party,,zari woven,no
8173,Sarees,same as border,temple border,big border,party,,zari woven,yes
8174,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
8175,Sarees,,zari,big border,traditional,jacquard,default,no
8177,Sarees,same as saree,zari,big border,traditional,,same as saree,no
8189,Sarees,same as border,zari,big border,party,,same as saree,no
8190,Sarees,default,zari,big border,traditional,,same as saree,no
8203,Sarees,same as saree,zari,big border,daily,,zari woven,no
8208,Sarees,same as border,temple border,big border,party,,zari woven,no
8214,Sarees,same as border,zari,big border,party,,zari woven,no
8217,Sarees,same as border,temple border,big border,party,,zari woven,no
8223,Sarees,,solid,big border,daily,default,same as saree,no
8227,Sarees,same as saree,zari,small border,party,,zari woven,yes
8229,Sarees,same as saree,zari,big border,daily,,zari woven,no
8230,Sarees,default,no border,no border,party,,zari woven,no
8234,Sarees,same as border,zari,big border,party,,zari woven,no
8241,Sarees,solid,woven design,big border,party,,zari woven,no
8244,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
8260,Sarees,same as border,temple border,big border,party,,zari woven,no
8261,Sarees,same as saree,zari,big border,daily,,zari woven,no
8262,Sarees,default,no border,no border,party,,zari woven,no
8280,Sarees,,woven design,small border,traditional,jacquard,same as saree,no
8283,Sarees,same as border,woven design,big border,daily,,zari woven,no
8284,Sarees,same as saree,temple border,small border,traditional,,same as saree,no
8290,Sarees,same as border,temple border,big border,party,,zari woven,no
8304,Sarees,same as saree,temple border,big border,party,,zari woven,yes
8316,Sarees,default,zari,big border,traditional,,zari woven,no
8317,Sarees,same as border,zari,big border,traditional,,zari woven,no
8326,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
8341,Sarees,same as saree,woven design,,party,jacquard,woven design,no
8352,Sarees,same as saree,woven design,,party,jacquard,woven design,no
8357,Sarees,solid,zari,big border,party,,zari woven,no
8366,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
8371,Sarees,same as border,temple border,big border,party,,zari woven,yes
8373,Sarees,same as saree,temple border,big border,party,,zari woven,yes
8379,Sarees,same as saree,zari,small border,traditional,,zari woven,no
8381,Sarees,default,zari,small border,traditional,,same as saree,no
8387,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
8411,Sarees,same as border,woven design,small border,party,,zari woven,no
8432,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
8433,Sarees,same as border,default,small border,party,,same as saree,yes
8440,Sarees,default,zari,big border,traditional,,zari woven,no
8446,Sarees,same as saree,woven design,big border,daily,,same as saree,no
8457,Sarees,solid,woven design,small border,,tassels and latkans,same as saree,no
8459,Sarees,solid,temple border,big border,party,,zari woven,no
8464,Sarees,same as saree,default,small border,daily,default,,no
8471,Sarees,default,woven design,big border,traditional,,zari woven,no
8473,Sarees,default,woven design,small border,daily,,same as saree,no
8477,Sarees,same as saree,zari,big border,party,,zari woven,no
8483,Sarees,solid,zari,small border,daily,,same as saree,no
8485,Sarees,default,zari,big border,party,,zari woven,no
8489,Sarees,same as saree,woven design,big border,daily,,same as saree,no
8523,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
8525,Sarees,default,zari,big border,daily,,same as saree,no
8527,Sarees,same as saree,solid,small border,traditional,,same as saree,no
8532,Sarees,default,zari,big border,traditional,,same as saree,no
8538,Sarees,default,no border,no border,party,,zari woven,no
8546,Sarees,same as saree,zari,big border,party,,zari woven,no
8551,Sarees,,default,small border,party,default,same as saree,no
8570,Sarees,same as saree,woven design,big border,daily,,same as saree,no
8571,Sarees,same as border,zari,big border,party,,zari woven,yes
8575,Sarees,same as border,temple border,big border,daily,,zari woven,no
8586,Sarees,same as border,zari,small border,traditional,,same as saree,no
8590,Sarees,same as saree,zari,big border,daily,,zari woven,no
8610,Sarees,same as border,zari,big border,traditional,,zari woven,no
8617,Sarees,default,no border,no border,party,,zari woven,no
8640,Sarees,same as border,temple border,big border,party,,zari woven,no
8643,Sarees,same as saree,temple border,big border,party,,zari woven,no
8646,Sarees,same as saree,zari,small border,traditional,,same as saree,no
8665,Sarees,same as saree,temple border,big border,party,,zari woven,no
8667,Sarees,same as saree,woven design,big border,daily,,same as saree,no
8669,Sarees,same as saree,zari,big border,party,,zari woven,yes
8673,Sarees,same as border,temple border,big border,party,,zari woven,yes
8682,Sarees,same as border,temple border,big border,party,,zari woven,no
8686,Sarees,same as saree,woven design,big border,traditional,,zari woven,no
8697,Sarees,same as border,zari,big border,traditional,,zari woven,no
8709,Sarees,same as saree,zari,big border,party,,zari woven,no
8715,Sarees,default,woven design,big border,wedding,,same as saree,no
8719,Sarees,same as border,woven design,small border,traditional,,same as saree,no
8730,Sarees,same as saree,temple border,big border,party,,zari woven,no
8741,Sarees,same as border,temple border,big border,party,,zari woven,yes
8742,Sarees,same as saree,zari,small border,daily,,same as saree,no
8743,Sarees,same as border,temple border,big border,party,,zari woven,no
8746,Sarees,same as border,temple border,big border,party,,zari woven,no
8753,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
8758,Sarees,default,zari,big border,daily,,zari woven,no
8771,Sarees,same as saree,woven design,big border,daily,,same as saree,no
8782,Sarees,,no border,no border,traditional,tassels and latkans,same as saree,no
8784,Sarees,same as border,zari,big border,party,,zari woven,yes
8795,Sarees,same as border,zari,big border,party,,zari woven,no
8802,Sarees,same as border,woven design,big border,traditional,,zari woven,no
8827,Sarees,same as border,temple border,big border,party,,zari woven,yes
8830,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
8831,Sarees,default,no border,no border,party,,same as saree,no
8835,Sarees,same as saree,woven design,,party,jacquard,woven design,no
8840,Sarees,same as border,temple border,big border,daily,,zari woven,no
8844,Sarees,same as border,zari,big border,party,,zari woven,no
8847,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
8857,Sarees,same as saree,woven design,big border,daily,,same as saree,no
8879,Sarees,same as saree,zari,small border,party,,same as saree,no
8886,Sarees,same as border,woven design,small border,traditional,,same as saree,no
8897,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
8900,Sarees,same as saree,temple border,small border,daily,,same as saree,no
8904,Sarees,same as border,temple border,big border,daily,,zari woven,no
8910,Sarees,default,no border,no border,party,,zari woven,no
8918,Sarees,same as saree,zari,small border,party,,same as saree,no
8922,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
8923,Sarees,same as border,temple border,big border,party,,zari woven,no
8927,Sarees,same as saree,zari,big border,party,,zari woven,no
8929,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
8958,Sarees,same as saree,zari,small border,traditional,,zari woven,no
8959,Sarees,,zari,small border,traditional,tassels and latkans,same as saree,no
8963,Sarees,same as saree,solid,small border,traditional,,same as saree,no
8968,Sarees,same as border,default,big border,traditional,,zari woven,no
8981,Sarees,default,no border,no border,party,,zari woven,no
9007,Sarees,same as saree,zari,big border,traditional,,same as saree,no
9009,Sarees,same as border,zari,big border,traditional,,same as saree,no
9024,Sarees,same as saree,zari,big border,party,,zari woven,no
9037,Sarees,default,zari,big border,traditional,,zari woven,no
9041,Sarees,same as border,temple border,big border,party,,zari woven,no
9047,Sarees,same as border,zari,small border,party,,same as saree,no
9048,Sarees,same as saree,zari,big border,party,,zari woven,yes
9049,Sarees,same as saree,zari,small border,party,,same as saree,no
9055,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
9065,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
9068,Sarees,default,woven design,big border,traditional,,same as saree,no
9070,Sarees,same as saree,zari,big border,party,,same as saree,no
9107,Sarees,same as border,woven design,small border,traditional,,same as saree,no
9110,Sarees,same as saree,woven design,big border,daily,,same as saree,no
9113,Sarees,same as saree,default,big border,traditional,,same as saree,no
9118,Sarees,same as border,woven design,big border,traditional,,same as saree,no
9123,Sarees,same as border,zari,big border,party,,zari woven,no
9124,Sarees,same as saree,zari,small border,party,,same as saree,no
9125,Sarees,same as border,temple border,big border,party,,zari woven,no
9134,Sarees,default,zari,big border,party,,same as saree,no
9135,Sarees,same as border,woven design,small border,daily,,same as saree,no
9136,Sarees,same as border,woven design,big border,party,,zari woven,no
9165,Sarees,same as border,zari,big border,party,,zari woven,yes
9167,Sarees,same as border,zari,big border,daily,,zari woven,no
9175,Sarees,same as saree,temple border,big border,party,,zari woven,no
9180,Sarees,default,zari,,party,tassels and latkans,same as saree,no
9182,Sarees,same as border,temple border,big border,party,,zari woven,yes
9189,Sarees,same as border,zari,small border,party,,zari woven,no
9198,Sarees,same as saree,zari,big border,party,,zari woven,no
9201,Sarees,same as saree,solid,small border,daily,,same as saree,no
9215,Sarees,same as border,woven design,small border,wedding,,same as saree,no
9226,Sarees,same as border,zari,big border,party,,zari woven,no
9228,Sarees,same as border,temple border,big border,party,,zari woven,no
9230,Sarees,same as border,temple border,big border,party,,zari woven,no
9231,Sarees,default,woven design,big border,daily,,same as saree,no
9244,Sarees,same as saree,zari,big border,party,,default,no
9258,Sarees,same as border,temple border,big border,party,,zari woven,yes
9260,Sarees,default,no border,no border,party,,zari woven,no
9265,Sarees,solid,zari,big border,party,,same as saree,no
9273,Sarees,default,no border,no border,party,,zari woven,no
9277,Sarees,same as saree,woven design,big border,daily,,same as saree,no
9287,Sarees,same as saree,zari,small border,daily,,same as saree,no
9289,Sarees,default,no border,no border,party,,same as saree,no
9300,Sarees,same as saree,temple border,big border,daily,,zari woven,no
9306,Sarees,solid,zari,big border,daily,,zari woven,no
9307,Sarees,same as border,zari,big border,party,,zari woven,no
9319,Sarees,same as saree,solid,big border,party,,same as saree,no
9328,Sarees,same as border,zari,big border,traditional,,zari woven,no
9329,Sarees,same as saree,woven design,big border,party,,same as saree,no
9337,Sarees,same as border,temple border,big border,party,,zari woven,yes
9348,Sarees,same as border,temple border,big border,party,,zari woven,yes
9352,Sarees,same as saree,zari,big border,party,,zari woven,yes
9364,Sarees,default,no border,no border,party,,same as saree,no
9369,Sarees,default,default,big border,party,,zari woven,no
9372,Sarees,default,no border,no border,party,,same as saree,no
9374,Sarees,same as border,zari,big border,traditional,,zari woven,no
9388,Sarees,same as border,temple border,small border,party,,default,no
9391,Sarees,same as saree,woven design,big border,daily,,same as saree,no
9398,Sarees,solid,zari,big border,party,,zari woven,no
9416,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
9429,Sarees,same as saree,temple border,big border,party,,zari woven,no
9430,Sarees,same as saree,temple border,big border,party,,zari woven,yes
9434,Sarees,same as border,zari,big border,party,,zari woven,no
9439,Sarees,same as border,zari,big border,daily,,zari woven,yes
9441,Sarees,default,woven design,big border,wedding,,same as saree,no
9454,Sarees,same as saree,woven design,,party,jacquard,woven design,no
9470,Sarees,same as border,temple border,big border,party,,zari woven,no
9488,Sarees,same as saree,woven design,,party,jacquard,woven design,no
9496,Sarees,same as saree,solid,small border,party,,same as saree,no
9511,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
9512,Sarees,same as border,temple border,big border,party,,zari woven,no
9516,Sarees,same as saree,woven design,small border,daily,,same as saree,no
9519,Sarees,same as saree,temple border,small border,party,,zari woven,yes
9522,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
9527,Sarees,default,default,small border,daily,,same as saree,no
9528,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
9535,Sarees,same as saree,solid,small border,daily,,same as saree,no
9537,Sarees,same as saree,woven design,big border,daily,,same as saree,no
9543,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
9560,Sarees,same as saree,zari,small border,traditional,,zari woven,no
9576,Sarees,same as saree,woven design,,party,jacquard,woven design,no
9588,Sarees,same as border,temple border,big border,party,,zari woven,no
9589,Sarees,same as border,woven design,small border,traditional,,same as saree,no
9591,Sarees,same as border,woven design,big border,daily,,zari woven,no
9593,Sarees,default,zari,big border,traditional,,zari woven,no
9600,Sarees,same as border,zari,small border,traditional,,zari woven,no
9601,Sarees,same as border,temple border,big border,party,,zari woven,no
9603,Sarees,same as border,zari,big border,traditional,,zari woven,no
9621,Sarees,same as saree,zari,small border,traditional,,zari woven,no
9627,Sarees,,solid,big border,daily,default,same as saree,no
9630,Sarees,solid,no border,no border,party,,same as saree,no
9637,Sarees,,default,small border,party,default,same as saree,no
9645,Sarees,same as border,zari,big border,party,,zari woven,no
9664,Sarees,default,woven design,small border,wedding,,same as saree,no
9670,Sarees,same as border,woven design,small border,traditional,,zari woven,no
9672,Sarees,,zari,big border,traditional,jacquard,default,no
9684,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
9694,Sarees,same as border,zari,big border,daily,,zari woven,no
9700,Sarees,default,no border,no border,party,,zari woven,no
9719,Sarees,default,woven design,small border,wedding,,same as saree,no
9724,Sarees,default,no border,no border,party,,same as saree,no
9726,Sarees,default,zari,big border,party,,same as saree,no
9739,Sarees,same as saree,woven design,big border,daily,,same as saree,no
9749,Sarees,same as border,zari,big border,party,,zari woven,no
9752,Sarees,same as border,zari,big border,traditional,,zari woven,no
9753,Sarees,same as border,temple border,big border,party,,zari woven,no
9758,Sarees,default,woven design,small border,wedding,,same as saree,no
9763,Sarees,same as saree,woven design,big border,daily,,same as saree,no
9769,Sarees,default,default,big border,party,,same as saree,no
9770,Sarees,,solid,big border,daily,default,same as saree,no
9776,Sarees,same as border,temple border,big border,party,,zari woven,no
9787,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
9788,Sarees,same as saree,zari,small border,party,,same as saree,no
9798,Sarees,,woven design,big border,wedding,default,same as saree,no
9799,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
9805,Sarees,default,zari,big border,traditional,,zari woven,no
9806,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
9815,Sarees,default,zari,big border,traditional,,zari woven,no
9816,Sarees,default,zari,big border,traditional,,zari woven,no
9827,Sarees,same as border,zari,small border,daily,,woven design,no
9833,Sarees,same as saree,zari,small border,party,,same as saree,no
9835,Sarees,same as border,default,small border,traditional,,same as saree,no
9836,Sarees,same as saree,woven design,,party,jacquard,woven design,no
9844,Sarees,solid,zari,big border,daily,,zari woven,no
9848,Sarees,same as border,temple border,big border,party,,zari woven,no
9854,Sarees,same as border,temple border,small border,party,,zari woven,yes
9862,Sarees,same as saree,woven design,,party,jacquard,woven design,no
9866,Sarees,same as border,default,small border,party,,zari woven,no
9873,Sarees,same as saree,solid,small border,traditional,,same as saree,no
9879,Sarees,same as border,zari,small border,party,,zari woven,no
9893,Sarees,same as saree,woven design,,party,jacquard,woven design,no
9914,Sarees,same as saree,woven design,small border,traditional,,same as saree,no
9935,Sarees,same as border,woven design,small border,daily,,same as saree,no
9949,Sarees,same as border,zari,big border,daily,,zari woven,no
9954,Sarees,same as saree,woven design,small border,party,,same as saree,no
9955,Sarees,same as border,default,small border,traditional,,same as saree,no
9959,Sarees,same as saree,zari,big border,traditional,,zari woven,no
9960,Sarees,same as saree,woven design,big border,daily,,same as saree,no
9963,Sarees,same as border,zari,big border,daily,,zari woven,no
9967,Sarees,same as border,zari,big border,party,,zari woven,no
9969,Sarees,same as border,default,small border,daily,,same as saree,no
9976,Sarees,same as saree,zari,big border,party,,zari woven,no
9977,Sarees,same as border,temple border,big border,party,,zari woven,no
10002,Sarees,same as saree,woven design,,party,jacquard,woven design,no
10003,Sarees,same as saree,woven design,big border,daily,,same as saree,no
10014,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
10015,Sarees,same as border,woven design,big border,traditional,,same as saree,no
10019,Sarees,same as saree,temple border,big border,party,,zari woven,no
10038,Sarees,same as saree,woven design,,party,jacquard,woven design,no
10044,Sarees,same as border,woven design,big border,wedding,,same as saree,no
10048,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
10050,Sarees,same as saree,zari,big border,traditional,,same as saree,no
10051,Sarees,same as border,temple border,big border,party,,zari woven,yes
10062,Sarees,same as border,woven design,big border,daily,,same as saree,no
10067,Sarees,default,no border,no border,party,,same as saree,no
10073,Sarees,same as border,zari,big border,daily,,same as saree,no
10091,Sarees,same as saree,temple border,big border,party,,zari woven,yes
10092,Sarees,default,no border,no border,party,,same as saree,no
10093,Sarees,same as border,woven design,big border,traditional,,same as saree,no
10095,Sarees,same as saree,solid,small border,daily,,same as saree,no
10097,Sarees,same as border,temple border,big border,party,,zari woven,no
10099,Sarees,same as saree,temple border,big border,daily,,zari woven,yes
10100,Sarees,solid,zari,big border,party,,same as saree,no
10108,Sarees,default,no border,no border,party,,same as saree,no
10121,Sarees,same as saree,zari,big border,daily,,zari woven,no
10132,Sarees,same as border,temple border,big border,party,,zari woven,yes
10133,Sarees,same as border,temple border,big border,party,,zari woven,yes
10137,Sarees,,zari,big border,traditional,default,zari woven,no
10141,Sarees,same as border,woven design,small border,party,,same as saree,no
10142,Sarees,same as saree,solid,small border,daily,,same as saree,no
10147,Sarees,same as border,temple border,big border,party,,zari woven,no
10158,Sarees,solid,zari,big border,daily,,zari woven,no
10167,Sarees,same as saree,default,big border,daily,,same as saree,no
10177,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
10184,Sarees,same as saree,solid,small border,daily,,same as saree,yes
10198,Sarees,same as saree,temple border,big border,daily,,zari woven,yes
10200,Sarees,default,no border,no border,party,,zari woven,no
10202,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
10224,Sarees,default,zari,small border,traditional,,zari woven,no
10226,Sarees,same as saree,zari,big border,party,,zari woven,no
10230,Sarees,same as border,woven design,small border,daily,,same as saree,no
10239,Sarees,same as border,temple border,small border,party,,zari woven,yes
10249,Sarees,,no border,no border,party,default,same as saree,no
10250,Sarees,default,no border,no border,party,,zari woven,no
10257,Sarees,solid,zari,,party,tassels and latkans,same as saree,yes
10266,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
10268,Sarees,same as saree,temple border,big border,party,,zari woven,no
10269,Sarees,same as border,temple border,big border,party,,zari woven,yes
10277,Sarees,same as saree,temple border,big border,party,,zari woven,no
10284,Sarees,same as saree,zari,big border,party,,same as saree,yes
10285,Sarees,same as saree,solid,small border,traditional,,same as saree,no
10299,Sarees,same as saree,zari,small border,traditional,,same as saree,no
10301,Sarees,same as border,zari,small border,traditional,,same as saree,no
10319,Sarees,same as saree,woven design,big border,daily,,same as saree,no
10321,Sarees,same as saree,temple border,small border,party,,same as saree,no
10340,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
10359,Sarees,same as border,woven design,big border,traditional,,same as saree,no
10368,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
10372,Sarees,same as border,woven design,big border,daily,,zari woven,no
10387,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
10388,Sarees,same as saree,temple border,big border,party,,zari woven,yes
10392,Sarees,same as border,zari,big border,party,,zari woven,no
10403,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
10415,Sarees,,zari,big border,traditional,default,zari woven,no
10424,Sarees,same as saree,woven design,big border,daily,,same as saree,no
10430,Sarees,same as saree,zari,small border,party,,same as saree,no
10434,Sarees,default,no border,no border,party,,same as saree,no
10452,Sarees,same as saree,woven design,big border,daily,,same as saree,no
10474,Sarees,same as border,temple border,big border,party,,zari woven,yes
10478,Sarees,same as border,zari,big border,party,,zari woven,yes
10482,Sarees,same as saree,zari,small border,traditional,,zari woven,no
10485,Sarees,default,no border,no border,party,,same as saree,no
10486,Sarees,same as border,temple border,big border,party,,zari woven,no
10488,Sarees,same as saree,zari,big border,party,,zari woven,no
10491,Sarees,same as saree,zari,big border,party,,default,no
10496,Sarees,same as saree,temple border,small border,party,,same as saree,no
10497,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
10524,Sarees,same as saree,woven design,,party,jacquard,woven design,no
10532,Sarees,same as border,temple border,small border,party,,zari woven,yes
10544,Sarees,same as border,default,big border,party,,zari woven,no
10556,Sarees,same as border,zari,big border,party,,zari woven,no
10562,Sarees,same as saree,temple border,big border,party,,zari woven,yes
10565,Sarees,same as border,no border,big border,party,tassels and latkans,,no
10574,Sarees,same as border,zari,big border,traditional,,zari woven,no
10577,Sarees,same as border,woven design,small border,traditional,,same as saree,no
10594,Sarees,same as border,woven design,big border,daily,,same as saree,no
10603,Sarees,same as border,zari,big border,traditional,,zari woven,no
10615,Sarees,solid,woven design,big border,daily,,zari woven,no
10617,Sarees,same as saree,woven design,big border,daily,,same as saree,no
10622,Sarees,same as saree,woven design,big border,daily,,same as saree,no
10628,Sarees,same as saree,temple border,big border,party,,zari woven,no
10641,Sarees,same as border,zari,big border,party,,zari woven,no
10642,Sarees,same as saree,zari,big border,daily,,same as saree,no
10650,Sarees,same as saree,zari,small border,party,,same as saree,no
10656,Sarees,same as border,temple border,big border,party,,zari woven,yes
10657,Sarees,same as border,temple border,big border,party,,zari woven,no
10685,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
10688,Sarees,default,woven design,big border,traditional,,zari woven,no
10692,Sarees,same as saree,default,big border,daily,,same as saree,no
10695,Sarees,same as border,woven design,small border,traditional,,same as saree,no
10704,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
10715,Sarees,same as saree,zari,small border,party,,same as saree,no
10726,Sarees,same as saree,woven design,big border,daily,,same as saree,no
10734,Sarees,,no border,no border,party,jacquard,woven design,no
10740,Sarees,same as border,woven design,small border,wedding,,zari woven,no
10742,Sarees,default,zari,big border,party,,zari woven,no
10749,Sarees,same as border,temple border,big border,party,,zari woven,no
10751,Sarees,solid,zari,big border,party,,default,no
10767,Sarees,same as border,temple border,big border,party,,zari woven,yes
10775,Sarees,same as border,woven design,big border,traditional,,same as saree,no
