id,Category,color,pattern,print_or_pattern_type
2670,Men Tshirts,multicolor,,default
2671,Men Tshirts,default,,default
2680,Men Tshirts,multicolor,,default
2690,Men Tshirts,multicolor,,default
2692,Men Tshirts,default,,default
2694,Men Tshirts,default,,default
2695,Men Tshirts,default,,default
2703,Men Tshirts,black,,typography
2705,Men Tshirts,multicolor,,default
2765,Men Tshirts,default,solid,
2766,Men Tshirts,multicolor,,default
2767,Men Tshirts,multicolor,,default
2768,Men Tshirts,default,,default
2773,Men Tshirts,white,,default
2784,Men Tshirts,white,,default
2813,Men Tshirts,default,,default
2832,Men Tshirts,default,,default
2843,Men Tshirts,default,,default
2849,Men Tshirts,white,,default
2867,Men Tshirts,multicolor,,default
2868,Men Tshirts,multicolor,,default
2869,Men Tshirts,multicolor,,default
2870,Men Tshirts,multicolor,,default
2964,Men Tshirts,multicolor,,default
2970,Men Tshirts,default,,default
3043,Men Tshirts,default,,default
3078,Men Tshirts,multicolor,,default
3079,Men Tshirts,multicolor,,default
3080,Men Tshirts,multicolor,,default
3081,Men Tshirts,multicolor,,default
3083,Men Tshirts,multicolor,,default
3090,Men Tshirts,default,,default
3093,Men Tshirts,multicolor,,default
3094,Men Tshirts,multicolor,,default
3121,Men Tshirts,multicolor,,default
3130,Men Tshirts,black,,default
3208,Men Tshirts,default,,default
3237,Men Tshirts,default,,default
3245,Men Tshirts,white,,default
3265,Men Tshirts,default,solid,
3276,Men Tshirts,multicolor,,default
3277,Men Tshirts,multicolor,,default
3282,Men Tshirts,multicolor,,default
3301,Men Tshirts,default,,default
3357,Men Tshirts,white,,default
3370,Men Tshirts,white,,default
3391,Men Tshirts,white,,default
3468,Men Tshirts,multicolor,,default
3477,Men Tshirts,multicolor,,default
3478,Men Tshirts,multicolor,,default
3481,Men Tshirts,multicolor,,default
3487,Men Tshirts,multicolor,,default
3490,Men Tshirts,default,,solid
3492,Men Tshirts,multicolor,printed,
3493,Men Tshirts,multicolor,printed,
3494,Men Tshirts,multicolor,printed,
3495,Men Tshirts,multicolor,printed,
3541,Men Tshirts,black,,default
3557,Men Tshirts,multicolor,,default
3558,Men Tshirts,multicolor,,default
3595,Men Tshirts,black,,default
3827,Men Tshirts,multicolor,,default
3839,Men Tshirts,multicolor,,default
3842,Men Tshirts,multicolor,,default
3845,Men Tshirts,multicolor,,default
3872,Men Tshirts,multicolor,printed,
3879,Men Tshirts,multicolor,,default
3895,Men Tshirts,white,,default
3949,Men Tshirts,,printed,typography
3951,Men Tshirts,white,,default
3957,Men Tshirts,multicolor,,solid
3973,Men Tshirts,multicolor,,solid
3974,Men Tshirts,multicolor,,solid
3976,Men Tshirts,black,,default
3980,Men Tshirts,white,,solid
3988,Men Tshirts,,solid,solid
3989,Men Tshirts,default,solid,
3992,Men Tshirts,multicolor,,default
3993,Men Tshirts,multicolor,,default
3995,Men Tshirts,white,printed,
4016,Men Tshirts,black,printed,
4071,Men Tshirts,black,,default
4074,Men Tshirts,,printed,typography
4075,Men Tshirts,white,printed,
4081,Men Tshirts,white,,typography
4085,Men Tshirts,white,printed,
4094,Men Tshirts,black,,typography
4116,Men Tshirts,black,,default
4142,Men Tshirts,default,printed,
4143,Men Tshirts,default,printed,
4144,Men Tshirts,default,printed,
4146,Men Tshirts,default,printed,
4147,Men Tshirts,default,printed,
4148,Men Tshirts,black,printed,
4172,Men Tshirts,black,,default
4178,Men Tshirts,black,printed,
4181,Men Tshirts,,printed,default
4195,Men Tshirts,black,,default
4196,Men Tshirts,default,,default
4212,Men Tshirts,multicolor,,default
4215,Men Tshirts,multicolor,,default
4218,Men Tshirts,black,,typography
4220,Men Tshirts,multicolor,,default
4223,Men Tshirts,multicolor,,default
4229,Men Tshirts,black,,default
4233,Men Tshirts,default,,default
4270,Men Tshirts,white,printed,
4284,Men Tshirts,default,,default
4286,Men Tshirts,,printed,default
4292,Men Tshirts,white,printed,
4298,Men Tshirts,white,,typography
4314,Men Tshirts,multicolor,,default
4318,Men Tshirts,,printed,default
4354,Men Tshirts,,solid,solid
4369,Men Tshirts,white,,typography
4378,Men Tshirts,multicolor,,solid
4379,Men Tshirts,black,printed,
4383,Men Tshirts,black,,default
4386,Men Tshirts,multicolor,,typography
4405,Men Tshirts,white,solid,
4408,Men Tshirts,,solid,solid
4421,Men Tshirts,multicolor,,default
4426,Men Tshirts,multicolor,,default
4431,Men Tshirts,default,printed,
4432,Men Tshirts,,solid,solid
4433,Men Tshirts,,printed,typography
4435,Men Tshirts,multicolor,,default
4436,Men Tshirts,multicolor,,default
4437,Men Tshirts,multicolor,,default
4441,Men Tshirts,multicolor,,default
4444,Men Tshirts,black,printed,
4449,Men Tshirts,white,,typography
4453,Men Tshirts,,solid,solid
4461,Men Tshirts,default,,default
4462,Men Tshirts,default,,default
4464,Men Tshirts,multicolor,,default
4468,Men Tshirts,multicolor,,default
4476,Men Tshirts,,solid,solid
4491,Men Tshirts,multicolor,,default
4534,Men Tshirts,multicolor,,default
4553,Men Tshirts,default,,default
4571,Men Tshirts,white,solid,
4584,Men Tshirts,,solid,solid
4590,Men Tshirts,multicolor,solid,
4595,Men Tshirts,default,solid,
4601,Men Tshirts,multicolor,solid,
4605,Men Tshirts,default,,default
4639,Men Tshirts,,printed,typography
4641,Men Tshirts,default,,default
4642,Men Tshirts,default,,default
4648,Men Tshirts,default,solid,
4677,Men Tshirts,multicolor,,typography
4696,Men Tshirts,multicolor,,solid
4711,Men Tshirts,multicolor,,solid
4712,Men Tshirts,white,printed,
4714,Men Tshirts,multicolor,,default
4739,Men Tshirts,black,,default
4745,Men Tshirts,black,printed,
4752,Men Tshirts,white,,solid
4753,Men Tshirts,,solid,solid
4756,Men Tshirts,,printed,default
4760,Men Tshirts,multicolor,,default
4775,Men Tshirts,multicolor,,default
4777,Men Tshirts,white,printed,
4778,Men Tshirts,default,,typography
4808,Men Tshirts,default,,default
4829,Men Tshirts,default,solid,
4845,Men Tshirts,multicolor,,default
4849,Men Tshirts,default,,default
4856,Men Tshirts,black,printed,
4860,Men Tshirts,,solid,solid
4864,Men Tshirts,default,,typography
4865,Men Tshirts,black,,typography
4866,Men Tshirts,black,,default
4941,Men Tshirts,default,printed,
4942,Men Tshirts,default,printed,
4956,Men Tshirts,multicolor,,default
4957,Men Tshirts,multicolor,,default
4958,Men Tshirts,multicolor,,default
4967,Men Tshirts,white,printed,
4993,Men Tshirts,multicolor,solid,
4994,Men Tshirts,white,printed,
4995,Men Tshirts,white,printed,
4996,Men Tshirts,white,printed,
4997,Men Tshirts,white,printed,
4998,Men Tshirts,white,printed,
4999,Men Tshirts,white,printed,
5000,Men Tshirts,white,printed,
5001,Men Tshirts,white,printed,
5002,Men Tshirts,white,printed,
5003,Men Tshirts,white,printed,
5004,Men Tshirts,multicolor,,default
5005,Men Tshirts,default,solid,
5006,Men Tshirts,default,solid,
5007,Men Tshirts,default,solid,
5008,Men Tshirts,black,solid,
5009,Men Tshirts,default,solid,
5035,Men Tshirts,black,,solid
5042,Men Tshirts,,printed,default
5044,Men Tshirts,default,,default
5048,Men Tshirts,default,,default
5049,Men Tshirts,black,printed,
5072,Men Tshirts,,printed,typography
5073,Men Tshirts,white,printed,
5074,Men Tshirts,default,solid,
5075,Men Tshirts,default,,solid
5076,Men Tshirts,black,,solid
5079,Men Tshirts,default,solid,
5080,Men Tshirts,white,,solid
5082,Men Tshirts,default,solid,
5098,Men Tshirts,,solid,solid
5123,Men Tshirts,default,,solid
5185,Men Tshirts,default,,default
5186,Men Tshirts,default,,default
5187,Men Tshirts,default,,default
5188,Men Tshirts,white,,default
5195,Men Tshirts,black,solid,
5201,Men Tshirts,multicolor,,solid
5202,Men Tshirts,,solid,solid
5203,Men Tshirts,,solid,solid
5207,Men Tshirts,white,printed,
5208,Men Tshirts,,printed,default
5219,Men Tshirts,default,,typography
5239,Men Tshirts,multicolor,,solid
5241,Men Tshirts,,solid,solid
5247,Men Tshirts,default,,default
5258,Men Tshirts,white,solid,
5259,Men Tshirts,black,printed,
5271,Men Tshirts,multicolor,printed,
5272,Men Tshirts,,solid,solid
5273,Men Tshirts,,printed,default
5279,Men Tshirts,,solid,solid
5287,Men Tshirts,default,,solid
5306,Men Tshirts,default,solid,
5319,Men Tshirts,,solid,solid
5332,Men Tshirts,black,,default
5333,Men Tshirts,default,,default
5336,Men Tshirts,default,,typography
5339,Men Tshirts,,solid,solid
5347,Men Tshirts,,solid,solid
5360,Men Tshirts,,solid,solid
5368,Men Tshirts,default,,default
5369,Men Tshirts,,solid,solid
5378,Men Tshirts,,printed,typography
5382,Men Tshirts,black,,default
5383,Men Tshirts,default,solid,
5384,Men Tshirts,default,,default
5388,Men Tshirts,,printed,default
5399,Men Tshirts,multicolor,,default
5413,Men Tshirts,multicolor,,solid
5414,Men Tshirts,multicolor,,default
5424,Men Tshirts,multicolor,,default
5425,Men Tshirts,default,printed,
5442,Men Tshirts,black,,typography
5453,Men Tshirts,default,,default
5455,Men Tshirts,multicolor,,default
5457,Men Tshirts,multicolor,,default
5460,Men Tshirts,multicolor,,default
5472,Men Tshirts,default,printed,
5489,Men Tshirts,multicolor,,default
5507,Men Tshirts,multicolor,solid,
5508,Men Tshirts,white,printed,
5512,Men Tshirts,white,printed,
5516,Men Tshirts,white,printed,
5519,Men Tshirts,,printed,default
5523,Men Tshirts,,printed,default
5532,Men Tshirts,white,,default
5533,Men Tshirts,default,printed,
5534,Men Tshirts,,printed,typography
5549,Men Tshirts,black,printed,
5566,Men Tshirts,default,printed,
5570,Men Tshirts,,printed,typography
5601,Men Tshirts,default,,default
5602,Men Tshirts,default,,default
5616,Men Tshirts,default,printed,
5623,Men Tshirts,,printed,default
5628,Men Tshirts,white,printed,
5638,Men Tshirts,multicolor,printed,
5652,Men Tshirts,white,printed,
5656,Men Tshirts,,printed,typography
5660,Men Tshirts,black,printed,
5663,Men Tshirts,,printed,typography
5667,Men Tshirts,black,,default
5672,Men Tshirts,multicolor,,typography
5676,Men Tshirts,white,printed,
5678,Men Tshirts,white,,default
5679,Men Tshirts,black,,typography
5684,Men Tshirts,white,printed,
5687,Men Tshirts,default,solid,
5696,Men Tshirts,multicolor,printed,
5698,Men Tshirts,multicolor,,default
5718,Men Tshirts,default,printed,
5731,Men Tshirts,white,printed,
5742,Men Tshirts,black,,typography
5744,Men Tshirts,black,,default
5789,Men Tshirts,white,,typography
5799,Men Tshirts,white,printed,
5816,Men Tshirts,default,printed,
5855,Men Tshirts,black,printed,
5860,Men Tshirts,,solid,solid
5894,Men Tshirts,black,,default
5898,Men Tshirts,white,printed,
5905,Men Tshirts,white,printed,
5908,Men Tshirts,black,printed,
5920,Men Tshirts,multicolor,printed,
5923,Men Tshirts,,printed,typography
5944,Men Tshirts,white,,default
5963,Men Tshirts,multicolor,printed,
5985,Men Tshirts,,printed,default
5992,Men Tshirts,black,printed,
6002,Men Tshirts,multicolor,solid,
6022,Men Tshirts,,printed,default
6024,Men Tshirts,,printed,default
6036,Men Tshirts,,solid,solid
6039,Men Tshirts,white,printed,
6050,Men Tshirts,,printed,typography
6055,Men Tshirts,white,,default
6068,Men Tshirts,multicolor,solid,
6072,Men Tshirts,white,,default
6076,Men Tshirts,default,solid,
6080,Men Tshirts,,printed,default
6082,Men Tshirts,default,printed,
6091,Men Tshirts,white,solid,
6095,Men Tshirts,,printed,default
6107,Men Tshirts,,printed,default
6111,Men Tshirts,white,printed,
6124,Men Tshirts,default,,typography
6128,Men Tshirts,white,printed,
6136,Men Tshirts,multicolor,,default
6148,Men Tshirts,black,,typography
6156,Men Tshirts,black,printed,
6161,Men Tshirts,white,printed,
6166,Men Tshirts,multicolor,,default
25827,Kurtis,,default,default
25944,Kurtis,,default,default
26025,Kurtis,,default,default
26028,Kurtis,,default,default
26039,Kurtis,,default,default
26042,Kurtis,,default,default
26043,Kurtis,,default,default
26048,Kurtis,,default,default
26332,Kurtis,,default,default
26344,Kurtis,,default,default
26365,Kurtis,,default,default
26369,Kurtis,,default,default
26540,Kurtis,,default,default
26541,Kurtis,,default,default
26545,Kurtis,,default,default
26601,Kurtis,,default,default
26604,Kurtis,,default,default
26615,Kurtis,,solid,solid
26739,Kurtis,,default,default
27018,Kurtis,,solid,solid
27144,Kurtis,,default,default
27252,Kurtis,,default,default
27327,Kurtis,,default,default
27367,Kurtis,,default,default
27395,Kurtis,,solid,solid
27402,Kurtis,,default,default
27576,Kurtis,,default,default
27836,Kurtis,black,solid,
27916,Kurtis,maroon,solid,
27918,Kurtis,maroon,,solid
27952,Kurtis,,default,default
27972,Kurtis,navy blue,solid,
28007,Kurtis,red,,solid
28359,Kurtis,navy blue,,solid
28388,Kurtis,black,solid,
28407,Kurtis,navy blue,,solid
28408,Kurtis,black,,solid
28412,Kurtis,green,solid,
28414,Kurtis,maroon,solid,
28415,Kurtis,,solid,solid
28423,Kurtis,maroon,solid,
28424,Kurtis,black,solid,
28430,Kurtis,black,,solid
28434,Kurtis,red,,solid
28443,Kurtis,yellow,solid,
28454,Kurtis,yellow,,solid
28464,Kurtis,red,solid,
28471,Kurtis,red,solid,
28477,Kurtis,red,solid,
28479,Kurtis,grey,solid,
28483,Kurtis,black,,solid
28485,Kurtis,red,solid,
28497,Kurtis,red,solid,
28501,Kurtis,red,solid,
28511,Kurtis,blue,solid,
28518,Kurtis,purple,solid,
28534,Kurtis,red,,solid
28549,Kurtis,blue,default,
28558,Kurtis,red,solid,
28567,Kurtis,yellow,,solid
28571,Kurtis,black,solid,
28574,Kurtis,maroon,,default
28577,Kurtis,black,,solid
28610,Kurtis,purple,,solid
28611,Kurtis,black,solid,
28622,Kurtis,multicolor,,default
28624,Kurtis,navy blue,,solid
28631,Kurtis,black,,solid
28636,Kurtis,red,solid,
28638,Kurtis,yellow,,solid
28642,Kurtis,blue,default,
28646,Kurtis,red,solid,
28647,Kurtis,black,solid,
28664,Kurtis,maroon,,solid
28677,Kurtis,navy blue,solid,
28707,Kurtis,navy blue,,solid
28723,Kurtis,maroon,,solid
28740,Kurtis,maroon,,solid
28746,Kurtis,black,,default
28748,Kurtis,maroon,solid,
28764,Kurtis,blue,,default
28769,Kurtis,black,default,
28787,Kurtis,maroon,,solid
28803,Kurtis,multicolor,,solid
28820,Kurtis,blue,,solid
28828,Kurtis,blue,default,
28940,Kurtis,black,default,
28953,Kurtis,maroon,,solid
28965,Kurtis,navy blue,,solid
29013,Kurtis,grey,solid,
29020,Kurtis,navy blue,default,
29070,Kurtis,purple,,solid
29105,Kurtis,black,default,
29145,Kurtis,black,,solid
29258,Kurtis,red,,solid
29282,Kurtis,multicolor,,solid
29307,Kurtis,black,default,
29473,Kurtis,maroon,,solid
29480,Kurtis,red,,solid
29517,Kurtis,red,,default
29597,Kurtis,red,,solid
7442,Sarees,multicolor,zari woven,
7459,Sarees,multicolor,zari woven,
7460,Sarees,multicolor,zari woven,
7463,Sarees,multicolor,zari woven,
7469,Sarees,multicolor,zari woven,
7470,Sarees,multicolor,zari woven,
7472,Sarees,multicolor,zari woven,
7493,Sarees,multicolor,zari woven,
7503,Sarees,multicolor,zari woven,
7510,Sarees,multicolor,zari woven,
7531,Sarees,multicolor,zari woven,
7532,Sarees,multicolor,zari woven,
7535,Sarees,multicolor,zari woven,
7542,Sarees,multicolor,zari woven,
7546,Sarees,multicolor,zari woven,
7554,Sarees,multicolor,zari woven,
7555,Sarees,multicolor,zari woven,
7563,Sarees,multicolor,zari woven,
7566,Sarees,multicolor,zari woven,
7577,Sarees,multicolor,zari woven,
7587,Sarees,multicolor,zari woven,
7589,Sarees,multicolor,zari woven,
7603,Sarees,multicolor,zari woven,
7606,Sarees,multicolor,zari woven,
7609,Sarees,multicolor,zari woven,
7618,Sarees,multicolor,zari woven,
7621,Sarees,multicolor,zari woven,
7623,Sarees,multicolor,zari woven,
7630,Sarees,multicolor,zari woven,
7645,Sarees,multicolor,zari woven,
7652,Sarees,multicolor,zari woven,
7659,Sarees,multicolor,zari woven,
7664,Sarees,multicolor,zari woven,
7679,Sarees,multicolor,zari woven,
7685,Sarees,multicolor,zari woven,
7686,Sarees,multicolor,zari woven,
7692,Sarees,multicolor,zari woven,
7713,Sarees,multicolor,zari woven,
7717,Sarees,multicolor,zari woven,
7720,Sarees,multicolor,zari woven,
7721,Sarees,multicolor,zari woven,
7728,Sarees,multicolor,zari woven,
7729,Sarees,multicolor,zari woven,
7743,Sarees,multicolor,zari woven,
7744,Sarees,multicolor,zari woven,
7746,Sarees,multicolor,zari woven,
7750,Sarees,multicolor,zari woven,
7755,Sarees,multicolor,zari woven,
7763,Sarees,multicolor,zari woven,
7782,Sarees,multicolor,zari woven,
7788,Sarees,multicolor,zari woven,
7791,Sarees,multicolor,zari woven,
7795,Sarees,multicolor,zari woven,
7807,Sarees,multicolor,zari woven,
7815,Sarees,multicolor,zari woven,
7830,Sarees,multicolor,zari woven,
7831,Sarees,multicolor,zari woven,
7851,Sarees,multicolor,zari woven,
7852,Sarees,multicolor,zari woven,
7865,Sarees,multicolor,zari woven,
7871,Sarees,multicolor,zari woven,
7872,Sarees,multicolor,zari woven,
7887,Sarees,multicolor,zari woven,
7890,Sarees,multicolor,zari woven,
7898,Sarees,multicolor,zari woven,
7902,Sarees,multicolor,zari woven,
7908,Sarees,multicolor,zari woven,
7913,Sarees,multicolor,zari woven,
7922,Sarees,multicolor,zari woven,
7935,Sarees,multicolor,zari woven,
7939,Sarees,multicolor,zari woven,
7963,Sarees,multicolor,zari woven,
7965,Sarees,multicolor,zari woven,
7982,Sarees,multicolor,zari woven,
7993,Sarees,multicolor,zari woven,
7999,Sarees,multicolor,zari woven,
8010,Sarees,multicolor,zari woven,
8024,Sarees,multicolor,zari woven,
8030,Sarees,multicolor,zari woven,
8033,Sarees,multicolor,zari woven,
8048,Sarees,multicolor,zari woven,
8051,Sarees,multicolor,zari woven,
8058,Sarees,multicolor,zari woven,
8112,Sarees,multicolor,zari woven,
8120,Sarees,multicolor,zari woven,
8129,Sarees,multicolor,zari woven,
8141,Sarees,multicolor,zari woven,
8162,Sarees,multicolor,zari woven,
8187,Sarees,multicolor,zari woven,
8196,Sarees,multicolor,zari woven,
8198,Sarees,multicolor,zari woven,
8204,Sarees,multicolor,zari woven,
8220,Sarees,multicolor,zari woven,
8250,Sarees,multicolor,zari woven,
8258,Sarees,multicolor,zari woven,
8297,Sarees,multicolor,zari woven,
8299,Sarees,multicolor,zari woven,
8305,Sarees,multicolor,zari woven,
8309,Sarees,multicolor,zari woven,
8315,Sarees,multicolor,zari woven,
8318,Sarees,multicolor,zari woven,
8320,Sarees,multicolor,zari woven,
8323,Sarees,multicolor,zari woven,
8334,Sarees,multicolor,zari woven,
8350,Sarees,multicolor,zari woven,
8351,Sarees,multicolor,zari woven,
8353,Sarees,multicolor,zari woven,
8356,Sarees,multicolor,zari woven,
8359,Sarees,multicolor,zari woven,
8374,Sarees,multicolor,zari woven,
8376,Sarees,multicolor,zari woven,
8388,Sarees,multicolor,zari woven,
8399,Sarees,multicolor,zari woven,
8404,Sarees,multicolor,zari woven,
8405,Sarees,multicolor,zari woven,
8408,Sarees,multicolor,zari woven,
8412,Sarees,multicolor,zari woven,
8417,Sarees,multicolor,zari woven,
8429,Sarees,multicolor,zari woven,
8442,Sarees,multicolor,zari woven,
8449,Sarees,multicolor,zari woven,
8455,Sarees,multicolor,zari woven,
8458,Sarees,multicolor,zari woven,
8461,Sarees,multicolor,zari woven,
8469,Sarees,multicolor,zari woven,
8481,Sarees,multicolor,zari woven,
8486,Sarees,multicolor,zari woven,
8491,Sarees,multicolor,zari woven,
8510,Sarees,multicolor,zari woven,
8529,Sarees,multicolor,zari woven,
8539,Sarees,multicolor,zari woven,
8549,Sarees,multicolor,zari woven,
8555,Sarees,multicolor,zari woven,
8559,Sarees,multicolor,zari woven,
8572,Sarees,multicolor,zari woven,
8574,Sarees,multicolor,zari woven,
8582,Sarees,multicolor,zari woven,
8584,Sarees,multicolor,zari woven,
8585,Sarees,multicolor,zari woven,
