id,Category,occassion,ornamentation
28072,Kurtis,daily,
28076,Kurtis,daily,
28077,Kurtis,daily,
28079,Kurtis,daily,
28080,Kurtis,daily,
28082,Kurtis,daily,
28083,Kurtis,daily,
28084,Kurtis,daily,
28085,Kurtis,daily,
28086,Kurtis,daily,
28087,Kurtis,daily,
28090,Kurtis,daily,
28092,Kurtis,daily,
28093,Kurtis,daily,
28095,Kurtis,daily,
28105,Kurtis,daily,
28106,Kurtis,daily,
28109,Kurtis,daily,
28110,Kurtis,daily,
28111,Kurtis,daily,
28116,Kurtis,daily,
28118,Kurtis,daily,
28120,Kurtis,daily,
28122,Kurtis,daily,
28124,Kurtis,daily,
28125,Kurtis,daily,
28126,Kurtis,daily,
28127,Kurtis,daily,
28128,Kurtis,daily,
28134,Kurtis,daily,
28135,Kurtis,daily,
28137,Kurtis,daily,
28138,Kurtis,daily,
28139,Kurtis,daily,
28140,Kurtis,daily,
28141,Kurtis,daily,
28142,Kurtis,daily,
28143,Kurtis,daily,
28145,Kurtis,daily,
28146,Kurtis,daily,
28147,Kurtis,daily,
28149,Kurtis,daily,
28151,Kurtis,daily,
28152,Kurtis,daily,
28154,Kurtis,daily,
28155,Kurtis,daily,
28156,Kurtis,daily,
28158,Kurtis,daily,
28159,Kurtis,daily,
28160,Kurtis,daily,
28161,Kurtis,daily,
28162,Kurtis,daily,
28163,Kurtis,daily,
28164,Kurtis,daily,
28165,Kurtis,daily,
28166,Kurtis,daily,
28168,Kurtis,daily,
28170,Kurtis,daily,
28171,Kurtis,daily,
28172,Kurtis,daily,
28173,Kurtis,daily,
28174,Kurtis,daily,
28175,Kurtis,daily,
28176,Kurtis,daily,
28177,Kurtis,daily,
28178,Kurtis,daily,
28179,Kurtis,daily,
28181,Kurtis,daily,
28183,Kurtis,daily,
28184,Kurtis,daily,
28185,Kurtis,daily,
28186,Kurtis,daily,
28188,Kurtis,daily,
28189,Kurtis,daily,
28190,Kurtis,daily,
28191,Kurtis,daily,
28192,Kurtis,daily,
28193,Kurtis,daily,
28195,Kurtis,daily,
28196,Kurtis,daily,
28197,Kurtis,daily,
28198,Kurtis,daily,
28199,Kurtis,daily,
28201,Kurtis,daily,
28202,Kurtis,daily,
28204,Kurtis,daily,
28205,Kurtis,daily,
28206,Kurtis,daily,
28207,Kurtis,daily,
28208,Kurtis,daily,
28209,Kurtis,daily,
28211,Kurtis,daily,
28212,Kurtis,daily,
28213,Kurtis,daily,
28214,Kurtis,daily,
28215,Kurtis,daily,
28216,Kurtis,daily,
28217,Kurtis,daily,
28218,Kurtis,daily,
28219,Kurtis,daily,
28220,Kurtis,daily,
28221,Kurtis,daily,
28223,Kurtis,daily,
28225,Kurtis,daily,
28226,Kurtis,daily,
28230,Kurtis,daily,
28231,Kurtis,daily,
28233,Kurtis,daily,
28234,Kurtis,daily,
28235,Kurtis,daily,
28236,Kurtis,daily,
28243,Kurtis,daily,
28245,Kurtis,daily,
28248,Kurtis,daily,
28249,Kurtis,daily,
28252,Kurtis,daily,
28259,Kurtis,daily,
28260,Kurtis,daily,
28261,Kurtis,daily,
28262,Kurtis,daily,
28263,Kurtis,party,
28269,Kurtis,daily,
28270,Kurtis,daily,
28274,Kurtis,daily,
28275,Kurtis,daily,
28277,Kurtis,daily,
28282,Kurtis,daily,
28284,Kurtis,daily,
28285,Kurtis,daily,
28289,Kurtis,daily,
28290,Kurtis,daily,
28291,Kurtis,daily,
28295,Kurtis,daily,
28296,Kurtis,daily,
28297,Kurtis,party,
28300,Kurtis,daily,
28302,Kurtis,daily,
28303,Kurtis,daily,
28307,Kurtis,daily,
28308,Kurtis,daily,
28309,Kurtis,daily,
28310,Kurtis,,default
28314,Kurtis,daily,
28315,Kurtis,daily,
28318,Kurtis,party,
28320,Kurtis,,default
28321,Kurtis,daily,
28324,Kurtis,party,
28326,Kurtis,daily,
28327,Kurtis,party,
28330,Kurtis,daily,
28331,Kurtis,daily,
28332,Kurtis,daily,
28333,Kurtis,daily,
28334,Kurtis,daily,
28338,Kurtis,daily,
28340,Kurtis,daily,
28343,Kurtis,daily,
28346,Kurtis,daily,
28348,Kurtis,daily,
28349,Kurtis,daily,
28358,Kurtis,daily,
28368,Kurtis,daily,
28381,Kurtis,daily,
28402,Kurtis,daily,
28405,Kurtis,daily,
28410,Kurtis,daily,
28416,Kurtis,daily,
28420,Kurtis,daily,
28472,Kurtis,daily,
28476,Kurtis,daily,
28480,Kurtis,daily,
28490,Kurtis,daily,
28503,Kurtis,daily,
28509,Kurtis,daily,
28510,Kurtis,daily,
28513,Kurtis,daily,
28515,Kurtis,daily,
28588,Kurtis,daily,
28601,Kurtis,daily,
28602,Kurtis,daily,
28640,Kurtis,daily,
28650,Kurtis,daily,
28688,Kurtis,daily,
28692,Kurtis,daily,
28702,Kurtis,daily,
28715,Kurtis,daily,
28749,Kurtis,daily,
28781,Kurtis,daily,
28824,Kurtis,daily,
28846,Kurtis,daily,
28880,Kurtis,daily,
28885,Kurtis,daily,
28893,Kurtis,daily,
28923,Kurtis,daily,
28937,Kurtis,daily,
28989,Kurtis,daily,
28992,Kurtis,daily,
28996,Kurtis,daily,
29022,Kurtis,daily,
29025,Kurtis,daily,
29040,Kurtis,daily,
29075,Kurtis,party,
29207,Kurtis,party,
29221,Kurtis,daily,
29227,Kurtis,daily,
29305,Kurtis,daily,
29421,Kurtis,daily,
29552,Kurtis,daily,
29601,Kurtis,daily,
29664,Kurtis,daily,
