id,Category,fit_shape,length,sleeve_length,sleeve_styling
27127,Kurtis,,calf length,sleeveless,sleeveless
27137,Kurtis,,calf length,sleeveless,sleeveless
27138,Kurtis,,calf length,sleeveless,sleeveless
27139,Kurtis,,calf length,sleeveless,sleeveless
27140,Kurtis,,calf length,sleeveless,sleeveless
27143,Kurtis,,calf length,sleeveless,sleeveless
27235,Kurtis,,calf length,short sleeves,regular
27241,Kurtis,,knee length,three-quarter sleeves,regular
27248,Kurtis,,knee length,three-quarter sleeves,regular
27344,Kurtis,,calf length,three-quarter sleeves,regular
27351,Kurtis,,calf length,three-quarter sleeves,regular
27355,Kurtis,,calf length,three-quarter sleeves,regular
27372,Kurtis,,knee length,three-quarter sleeves,regular
27389,Kurtis,,calf length,three-quarter sleeves,regular
27404,Kurtis,,calf length,three-quarter sleeves,regular
27405,Kurtis,,calf length,three-quarter sleeves,regular
27419,Kurtis,,calf length,three-quarter sleeves,regular
27478,Kurtis,,calf length,three-quarter sleeves,regular
27481,Kurtis,a-line,calf length,three-quarter sleeves,
27573,Kurtis,,calf length,three-quarter sleeves,regular
27575,Kurtis,,calf length,three-quarter sleeves,regular
27599,Kurtis,,calf length,three-quarter sleeves,regular
27626,Kurtis,a-line,,three-quarter sleeves,regular
27636,Kurtis,,calf length,three-quarter sleeves,regular
27661,Kurtis,,calf length,three-quarter sleeves,regular
27669,Kurtis,,calf length,three-quarter sleeves,regular
27686,Kurtis,,calf length,three-quarter sleeves,regular
27697,Kurtis,a-line,,three-quarter sleeves,regular
27715,Kurtis,,calf length,three-quarter sleeves,regular
27743,Kurtis,,calf length,three-quarter sleeves,regular
27745,Kurtis,,calf length,three-quarter sleeves,regular
27791,Kurtis,a-line,,three-quarter sleeves,regular
27793,Kurtis,a-line,,three-quarter sleeves,regular
27798,Kurtis,a-line,,three-quarter sleeves,regular
27814,Kurtis,a-line,,three-quarter sleeves,regular
27815,Kurtis,a-line,,three-quarter sleeves,regular
27825,Kurtis,a-line,,three-quarter sleeves,regular
27929,Kurtis,a-line,,three-quarter sleeves,regular
28025,Kurtis,a-line,,three-quarter sleeves,regular
28075,Kurtis,a-line,,three-quarter sleeves,regular
28157,Kurtis,a-line,,three-quarter sleeves,regular
28227,Kurtis,a-line,,three-quarter sleeves,regular
28237,Kurtis,a-line,,three-quarter sleeves,regular
28239,Kurtis,a-line,,three-quarter sleeves,regular
28264,Kurtis,a-line,,three-quarter sleeves,regular
28265,Kurtis,a-line,,three-quarter sleeves,regular
28266,Kurtis,a-line,,three-quarter sleeves,regular
28267,Kurtis,a-line,,three-quarter sleeves,regular
28268,Kurtis,a-line,,three-quarter sleeves,regular
28271,Kurtis,a-line,,three-quarter sleeves,regular
28272,Kurtis,a-line,,three-quarter sleeves,regular
28273,Kurtis,a-line,,three-quarter sleeves,regular
28287,Kurtis,a-line,,three-quarter sleeves,regular
28301,Kurtis,a-line,,three-quarter sleeves,regular
28304,Kurtis,a-line,,three-quarter sleeves,regular
28305,Kurtis,a-line,,three-quarter sleeves,regular
28313,Kurtis,a-line,,three-quarter sleeves,regular
28322,Kurtis,a-line,,three-quarter sleeves,regular
28323,Kurtis,a-line,,three-quarter sleeves,regular
28325,Kurtis,a-line,,three-quarter sleeves,regular
28329,Kurtis,a-line,,three-quarter sleeves,regular
28335,Kurtis,a-line,,three-quarter sleeves,regular
28336,Kurtis,a-line,,three-quarter sleeves,regular
28337,Kurtis,a-line,,three-quarter sleeves,regular
28339,Kurtis,a-line,,three-quarter sleeves,regular
28342,Kurtis,a-line,,three-quarter sleeves,regular
28344,Kurtis,a-line,,three-quarter sleeves,regular
28345,Kurtis,a-line,,three-quarter sleeves,regular
28357,Kurtis,,knee length,three-quarter sleeves,regular
28361,Kurtis,a-line,,three-quarter sleeves,regular
28362,Kurtis,straight,,short sleeves,regular
28380,Kurtis,,knee length,three-quarter sleeves,regular
28383,Kurtis,,calf length,three-quarter sleeves,regular
28384,Kurtis,,knee length,sleeveless,sleeveless
28389,Kurtis,,calf length,three-quarter sleeves,regular
28411,Kurtis,,calf length,three-quarter sleeves,regular
28428,Kurtis,,calf length,three-quarter sleeves,regular
28429,Kurtis,a-line,,sleeveless,sleeveless
28432,Kurtis,,knee length,three-quarter sleeves,regular
28439,Kurtis,,calf length,three-quarter sleeves,regular
28444,Kurtis,,calf length,three-quarter sleeves,regular
28450,Kurtis,,knee length,three-quarter sleeves,regular
28455,Kurtis,a-line,,sleeveless,sleeveless
28457,Kurtis,a-line,,three-quarter sleeves,regular
28468,Kurtis,,calf length,three-quarter sleeves,regular
28469,Kurtis,,calf length,three-quarter sleeves,regular
28474,Kurtis,,calf length,three-quarter sleeves,regular
28475,Kurtis,a-line,,three-quarter sleeves,regular
28482,Kurtis,,knee length,short sleeves,regular
28484,Kurtis,a-line,,three-quarter sleeves,regular
28487,Kurtis,,knee length,three-quarter sleeves,regular
28498,Kurtis,,calf length,three-quarter sleeves,regular
28500,Kurtis,a-line,,three-quarter sleeves,regular
28502,Kurtis,,calf length,three-quarter sleeves,regular
28508,Kurtis,,calf length,sleeveless,sleeveless
28531,Kurtis,a-line,,short sleeves,regular
28543,Kurtis,a-line,,three-quarter sleeves,regular
28562,Kurtis,a-line,,three-quarter sleeves,regular
28590,Kurtis,a-line,,three-quarter sleeves,regular
28594,Kurtis,a-line,,short sleeves,regular
28606,Kurtis,a-line,,three-quarter sleeves,regular
28609,Kurtis,a-line,,short sleeves,regular
28639,Kurtis,straight,,three-quarter sleeves,regular
28662,Kurtis,,knee length,short sleeves,regular
28669,Kurtis,a-line,,three-quarter sleeves,regular
28674,Kurtis,a-line,,three-quarter sleeves,regular
28675,Kurtis,,calf length,three-quarter sleeves,regular
28683,Kurtis,,knee length,three-quarter sleeves,regular
28700,Kurtis,,calf length,three-quarter sleeves,regular
28703,Kurtis,a-line,,three-quarter sleeves,regular
28709,Kurtis,a-line,,three-quarter sleeves,regular
28712,Kurtis,,knee length,three-quarter sleeves,regular
28726,Kurtis,,calf length,three-quarter sleeves,regular
28732,Kurtis,straight,,three-quarter sleeves,regular
28754,Kurtis,a-line,,sleeveless,sleeveless
28760,Kurtis,,calf length,three-quarter sleeves,regular
28761,Kurtis,,knee length,three-quarter sleeves,regular
28771,Kurtis,a-line,,three-quarter sleeves,regular
28772,Kurtis,,calf length,three-quarter sleeves,regular
28786,Kurtis,straight,,three-quarter sleeves,regular
28832,Kurtis,,calf length,three-quarter sleeves,regular
28894,Kurtis,a-line,,three-quarter sleeves,regular
28896,Kurtis,a-line,,three-quarter sleeves,regular
28898,Kurtis,,knee length,three-quarter sleeves,regular
28967,Kurtis,,calf length,three-quarter sleeves,regular
28971,Kurtis,a-line,,three-quarter sleeves,regular
29060,Kurtis,a-line,,three-quarter sleeves,regular
29097,Kurtis,,knee length,three-quarter sleeves,regular
29127,Kurtis,straight,,three-quarter sleeves,regular
29131,Kurtis,a-line,,three-quarter sleeves,regular
29187,Kurtis,straight,,three-quarter sleeves,regular
29224,Kurtis,a-line,,three-quarter sleeves,regular
29443,Kurtis,straight,,three-quarter sleeves,regular
29446,Kurtis,a-line,,short sleeves,regular
29546,Kurtis,,knee length,short sleeves,regular
51385,Women Tops & Tunics,regular,regular,long sleeves,
51428,Women Tops & Tunics,fitted,regular,short sleeves,
51429,Women Tops & Tunics,fitted,regular,short sleeves,
51478,Women Tops & Tunics,regular,crop,sleeveless,
51483,Women Tops & Tunics,default,,three-quarter sleeves,regular sleeves
51510,Women Tops & Tunics,fitted,regular,short sleeves,
51528,Women Tops & Tunics,regular,regular,short sleeves,
51539,Women Tops & Tunics,default,,long sleeves,regular sleeves
51579,Women Tops & Tunics,regular,regular,short sleeves,
51585,Women Tops & Tunics,default,regular,short sleeves,
51598,Women Tops & Tunics,fitted,regular,short sleeves,
51621,Women Tops & Tunics,regular,crop,short sleeves,
51634,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
51653,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
51656,Women Tops & Tunics,regular,regular,short sleeves,
51663,Women Tops & Tunics,regular,,short sleeves,regular sleeves
51669,Women Tops & Tunics,fitted,regular,short sleeves,
51680,Women Tops & Tunics,regular,crop,short sleeves,
51684,Women Tops & Tunics,fitted,regular,short sleeves,
51693,Women Tops & Tunics,fitted,crop,short sleeves,
51703,Women Tops & Tunics,default,regular,short sleeves,
51712,Women Tops & Tunics,fitted,regular,long sleeves,
51719,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
51721,Women Tops & Tunics,regular,regular,long sleeves,
51725,Women Tops & Tunics,fitted,regular,short sleeves,
51728,Women Tops & Tunics,fitted,regular,short sleeves,
51743,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
51763,Women Tops & Tunics,default,,three-quarter sleeves,regular sleeves
51780,Women Tops & Tunics,fitted,regular,long sleeves,
51825,Women Tops & Tunics,fitted,regular,short sleeves,
51886,Women Tops & Tunics,fitted,regular,short sleeves,
51894,Women Tops & Tunics,fitted,regular,short sleeves,
51897,Women Tops & Tunics,fitted,regular,short sleeves,
51908,Women Tops & Tunics,fitted,regular,short sleeves,
51916,Women Tops & Tunics,fitted,regular,short sleeves,
51926,Women Tops & Tunics,fitted,regular,short sleeves,
52026,Women Tops & Tunics,fitted,regular,short sleeves,
52032,Women Tops & Tunics,fitted,regular,short sleeves,
52038,Women Tops & Tunics,default,regular,long sleeves,
52053,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
52063,Women Tops & Tunics,fitted,regular,short sleeves,
52070,Women Tops & Tunics,fitted,regular,short sleeves,
52071,Women Tops & Tunics,fitted,regular,short sleeves,
52089,Women Tops & Tunics,fitted,regular,short sleeves,
52091,Women Tops & Tunics,fitted,regular,short sleeves,
52098,Women Tops & Tunics,fitted,regular,short sleeves,
52152,Women Tops & Tunics,fitted,crop,short sleeves,
52179,Women Tops & Tunics,fitted,regular,long sleeves,
52180,Women Tops & Tunics,default,regular,long sleeves,
52218,Women Tops & Tunics,fitted,regular,short sleeves,
52220,Women Tops & Tunics,fitted,regular,short sleeves,
52276,Women Tops & Tunics,default,regular,short sleeves,
52287,Women Tops & Tunics,fitted,regular,short sleeves,
52312,Women Tops & Tunics,regular,regular,short sleeves,
52320,Women Tops & Tunics,fitted,regular,short sleeves,
52373,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
52374,Women Tops & Tunics,fitted,regular,short sleeves,
52387,Women Tops & Tunics,regular,regular,short sleeves,
52399,Women Tops & Tunics,fitted,regular,short sleeves,
52435,Women Tops & Tunics,fitted,regular,short sleeves,
52486,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
52519,Women Tops & Tunics,fitted,regular,short sleeves,
52536,Women Tops & Tunics,fitted,regular,short sleeves,
52539,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
52550,Women Tops & Tunics,fitted,regular,short sleeves,
52554,Women Tops & Tunics,default,,three-quarter sleeves,regular sleeves
52564,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
52573,Women Tops & Tunics,fitted,regular,short sleeves,
52606,Women Tops & Tunics,regular,,long sleeves,regular sleeves
52619,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
52627,Women Tops & Tunics,fitted,regular,short sleeves,
52694,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
52709,Women Tops & Tunics,fitted,regular,short sleeves,
52711,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
52716,Women Tops & Tunics,fitted,regular,short sleeves,
52801,Women Tops & Tunics,fitted,regular,short sleeves,
52818,Women Tops & Tunics,fitted,regular,short sleeves,
52825,Women Tops & Tunics,regular,regular,short sleeves,
52863,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
52906,Women Tops & Tunics,fitted,regular,short sleeves,
52965,Women Tops & Tunics,default,,long sleeves,regular sleeves
52970,Women Tops & Tunics,fitted,regular,short sleeves,
52983,Women Tops & Tunics,fitted,regular,short sleeves,
52990,Women Tops & Tunics,default,,long sleeves,regular sleeves
53022,Women Tops & Tunics,fitted,regular,short sleeves,
53087,Women Tops & Tunics,fitted,regular,short sleeves,
53099,Women Tops & Tunics,fitted,regular,short sleeves,
53109,Women Tops & Tunics,fitted,regular,short sleeves,
53118,Women Tops & Tunics,fitted,regular,long sleeves,
53165,Women Tops & Tunics,default,,long sleeves,regular sleeves
53191,Women Tops & Tunics,fitted,regular,short sleeves,
53231,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
53240,Women Tops & Tunics,fitted,regular,short sleeves,
53271,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
53305,Women Tops & Tunics,fitted,regular,short sleeves,
53325,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
53356,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
53381,Women Tops & Tunics,fitted,regular,short sleeves,
53396,Women Tops & Tunics,fitted,crop,three-quarter sleeves,
53413,Women Tops & Tunics,fitted,regular,short sleeves,
53435,Women Tops & Tunics,regular,regular,short sleeves,
53442,Women Tops & Tunics,fitted,regular,short sleeves,
53473,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
53474,Women Tops & Tunics,regular,regular,short sleeves,
53523,Women Tops & Tunics,,regular,short sleeves,default
53529,Women Tops & Tunics,fitted,regular,short sleeves,
53531,Women Tops & Tunics,fitted,regular,short sleeves,
53547,Women Tops & Tunics,fitted,regular,short sleeves,
53558,Women Tops & Tunics,default,regular,long sleeves,
53655,Women Tops & Tunics,fitted,regular,short sleeves,
53656,Women Tops & Tunics,fitted,regular,short sleeves,
53659,Women Tops & Tunics,fitted,regular,short sleeves,
53674,Women Tops & Tunics,fitted,regular,short sleeves,
53680,Women Tops & Tunics,default,,long sleeves,regular sleeves
53687,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
53689,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
53704,Women Tops & Tunics,fitted,regular,short sleeves,
53752,Women Tops & Tunics,regular,regular,short sleeves,
53801,Women Tops & Tunics,default,regular,long sleeves,
53806,Women Tops & Tunics,fitted,regular,short sleeves,
53814,Women Tops & Tunics,fitted,regular,short sleeves,
53842,Women Tops & Tunics,regular,crop,short sleeves,
53855,Women Tops & Tunics,fitted,regular,long sleeves,
53879,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
53893,Women Tops & Tunics,,regular,short sleeves,regular sleeves
53919,Women Tops & Tunics,default,crop,short sleeves,
53953,Women Tops & Tunics,fitted,crop,short sleeves,
53972,Women Tops & Tunics,fitted,regular,short sleeves,
53993,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
54012,Women Tops & Tunics,fitted,regular,short sleeves,
54014,Women Tops & Tunics,default,,three-quarter sleeves,regular sleeves
54047,Women Tops & Tunics,fitted,regular,short sleeves,
54053,Women Tops & Tunics,default,,long sleeves,regular sleeves
54067,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
54097,Women Tops & Tunics,fitted,regular,short sleeves,
54116,Women Tops & Tunics,fitted,regular,short sleeves,
54136,Women Tops & Tunics,default,regular,three-quarter sleeves,
54190,Women Tops & Tunics,fitted,regular,short sleeves,
54194,Women Tops & Tunics,fitted,regular,short sleeves,
54222,Women Tops & Tunics,fitted,regular,short sleeves,
54240,Women Tops & Tunics,fitted,regular,short sleeves,
54275,Women Tops & Tunics,fitted,regular,short sleeves,
54295,Women Tops & Tunics,fitted,regular,short sleeves,
54302,Women Tops & Tunics,regular,regular,short sleeves,
54307,Women Tops & Tunics,fitted,regular,short sleeves,
54348,Women Tops & Tunics,default,regular,short sleeves,
54354,Women Tops & Tunics,fitted,regular,short sleeves,
54355,Women Tops & Tunics,fitted,regular,short sleeves,
54361,Women Tops & Tunics,fitted,regular,short sleeves,
54378,Women Tops & Tunics,fitted,regular,short sleeves,
54404,Women Tops & Tunics,fitted,regular,short sleeves,
54413,Women Tops & Tunics,fitted,regular,short sleeves,
54417,Women Tops & Tunics,default,,long sleeves,regular sleeves
54424,Women Tops & Tunics,fitted,regular,short sleeves,
54463,Women Tops & Tunics,regular,regular,short sleeves,
54466,Women Tops & Tunics,fitted,regular,short sleeves,
54483,Women Tops & Tunics,default,,three-quarter sleeves,regular sleeves
54487,Women Tops & Tunics,fitted,regular,short sleeves,
54513,Women Tops & Tunics,fitted,regular,short sleeves,
54574,Women Tops & Tunics,fitted,regular,long sleeves,
54577,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
54634,Women Tops & Tunics,regular,regular,long sleeves,
54661,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
54690,Women Tops & Tunics,regular,regular,short sleeves,
54749,Women Tops & Tunics,fitted,regular,short sleeves,
54753,Women Tops & Tunics,fitted,regular,short sleeves,
54756,Women Tops & Tunics,fitted,crop,short sleeves,
54768,Women Tops & Tunics,fitted,regular,short sleeves,
54775,Women Tops & Tunics,fitted,regular,short sleeves,
54791,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
54801,Women Tops & Tunics,fitted,regular,short sleeves,
54827,Women Tops & Tunics,fitted,regular,short sleeves,
54864,Women Tops & Tunics,fitted,regular,short sleeves,
54873,Women Tops & Tunics,default,,long sleeves,regular sleeves
54895,Women Tops & Tunics,fitted,regular,short sleeves,
54903,Women Tops & Tunics,fitted,regular,short sleeves,
54926,Women Tops & Tunics,regular,crop,short sleeves,
54944,Women Tops & Tunics,fitted,regular,short sleeves,
54951,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
54962,Women Tops & Tunics,fitted,regular,short sleeves,
54970,Women Tops & Tunics,default,crop,long sleeves,
55002,Women Tops & Tunics,fitted,regular,short sleeves,
55028,Women Tops & Tunics,fitted,regular,short sleeves,
55032,Women Tops & Tunics,fitted,regular,short sleeves,
55049,Women Tops & Tunics,fitted,,long sleeves,regular sleeves
55068,Women Tops & Tunics,fitted,regular,short sleeves,
55148,Women Tops & Tunics,regular,crop,short sleeves,
55181,Women Tops & Tunics,default,crop,long sleeves,
55189,Women Tops & Tunics,regular,regular,short sleeves,
55194,Women Tops & Tunics,fitted,regular,short sleeves,
55197,Women Tops & Tunics,fitted,regular,short sleeves,
55309,Women Tops & Tunics,fitted,regular,short sleeves,
55353,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
55354,Women Tops & Tunics,fitted,regular,short sleeves,
55396,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
55428,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
55456,Women Tops & Tunics,regular,regular,long sleeves,
55475,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
55477,Women Tops & Tunics,fitted,regular,short sleeves,
55478,Women Tops & Tunics,regular,regular,short sleeves,
55580,Women Tops & Tunics,fitted,regular,short sleeves,
55610,Women Tops & Tunics,fitted,regular,short sleeves,
55629,Women Tops & Tunics,fitted,regular,short sleeves,
55649,Women Tops & Tunics,fitted,regular,short sleeves,
55661,Women Tops & Tunics,fitted,regular,short sleeves,
55673,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
55690,Women Tops & Tunics,fitted,crop,short sleeves,
55727,Women Tops & Tunics,regular,regular,three-quarter sleeves,
55737,Women Tops & Tunics,default,regular,long sleeves,
55747,Women Tops & Tunics,fitted,regular,long sleeves,
55756,Women Tops & Tunics,fitted,regular,short sleeves,
55773,Women Tops & Tunics,fitted,regular,short sleeves,
55832,Women Tops & Tunics,regular,regular,short sleeves,
55853,Women Tops & Tunics,fitted,regular,short sleeves,
55883,Women Tops & Tunics,default,regular,three-quarter sleeves,
55888,Women Tops & Tunics,fitted,regular,short sleeves,
55916,Women Tops & Tunics,fitted,regular,short sleeves,
55940,Women Tops & Tunics,fitted,regular,short sleeves,
55943,Women Tops & Tunics,fitted,crop,short sleeves,
55985,Women Tops & Tunics,fitted,regular,short sleeves,
55996,Women Tops & Tunics,fitted,regular,short sleeves,
56000,Women Tops & Tunics,default,regular,short sleeves,
56011,Women Tops & Tunics,fitted,regular,short sleeves,
56082,Women Tops & Tunics,fitted,regular,short sleeves,
56083,Women Tops & Tunics,default,,long sleeves,regular sleeves
56088,Women Tops & Tunics,fitted,regular,short sleeves,
56091,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
56102,Women Tops & Tunics,fitted,regular,long sleeves,
56109,Women Tops & Tunics,default,regular,long sleeves,
56125,Women Tops & Tunics,regular,regular,short sleeves,
56126,Women Tops & Tunics,default,,long sleeves,regular sleeves
56145,Women Tops & Tunics,fitted,crop,three-quarter sleeves,
56159,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
56168,Women Tops & Tunics,fitted,regular,short sleeves,
56189,Women Tops & Tunics,fitted,regular,short sleeves,
56231,Women Tops & Tunics,regular,regular,short sleeves,
56261,Women Tops & Tunics,regular,regular,short sleeves,
56265,Women Tops & Tunics,regular,regular,short sleeves,
56267,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
56287,Women Tops & Tunics,fitted,regular,short sleeves,
56295,Women Tops & Tunics,default,,three-quarter sleeves,regular sleeves
56296,Women Tops & Tunics,fitted,regular,long sleeves,
56414,Women Tops & Tunics,regular,,short sleeves,regular sleeves
56447,Women Tops & Tunics,fitted,regular,short sleeves,
56483,Women Tops & Tunics,regular,regular,short sleeves,
56486,Women Tops & Tunics,regular,regular,short sleeves,
56494,Women Tops & Tunics,fitted,regular,short sleeves,
56523,Women Tops & Tunics,regular,crop,short sleeves,
56535,Women Tops & Tunics,fitted,regular,short sleeves,
56565,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
56607,Women Tops & Tunics,fitted,regular,short sleeves,
56610,Women Tops & Tunics,fitted,regular,short sleeves,
56634,Women Tops & Tunics,regular,regular,long sleeves,
56668,Women Tops & Tunics,fitted,regular,short sleeves,
56715,Women Tops & Tunics,default,regular,three-quarter sleeves,
56722,Women Tops & Tunics,fitted,regular,short sleeves,
56783,Women Tops & Tunics,fitted,regular,short sleeves,
56786,Women Tops & Tunics,fitted,regular,short sleeves,
56792,Women Tops & Tunics,fitted,regular,short sleeves,
56820,Women Tops & Tunics,fitted,crop,short sleeves,
56834,Women Tops & Tunics,default,crop,short sleeves,
56837,Women Tops & Tunics,fitted,regular,long sleeves,
56842,Women Tops & Tunics,default,crop,short sleeves,
56882,Women Tops & Tunics,fitted,regular,short sleeves,
56889,Women Tops & Tunics,fitted,regular,short sleeves,
56916,Women Tops & Tunics,fitted,regular,short sleeves,
56964,Women Tops & Tunics,fitted,regular,short sleeves,
56969,Women Tops & Tunics,fitted,regular,short sleeves,
56988,Women Tops & Tunics,default,,three-quarter sleeves,regular sleeves
57016,Women Tops & Tunics,default,regular,short sleeves,
57057,Women Tops & Tunics,regular,regular,short sleeves,
57113,Women Tops & Tunics,regular,regular,short sleeves,
57116,Women Tops & Tunics,regular,crop,short sleeves,
57172,Women Tops & Tunics,fitted,regular,short sleeves,
57178,Women Tops & Tunics,regular,crop,short sleeves,
57212,Women Tops & Tunics,fitted,regular,short sleeves,
57224,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
57227,Women Tops & Tunics,fitted,crop,short sleeves,
57233,Women Tops & Tunics,fitted,regular,short sleeves,
57251,Women Tops & Tunics,regular,regular,long sleeves,
57265,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
57275,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
57304,Women Tops & Tunics,fitted,regular,three-quarter sleeves,
57344,Women Tops & Tunics,regular,regular,short sleeves,
57347,Women Tops & Tunics,fitted,regular,short sleeves,
57350,Women Tops & Tunics,default,,long sleeves,regular sleeves
57370,Women Tops & Tunics,regular,regular,long sleeves,
57388,Women Tops & Tunics,fitted,regular,short sleeves,
57426,Women Tops & Tunics,fitted,regular,short sleeves,
57435,Women Tops & Tunics,regular,regular,long sleeves,
57436,Women Tops & Tunics,fitted,regular,short sleeves,
57438,Women Tops & Tunics,fitted,regular,short sleeves,
57462,Women Tops & Tunics,fitted,regular,short sleeves,
57479,Women Tops & Tunics,fitted,regular,short sleeves,
