id,Category,occasion,ornamentation
26409,Kurtis,daily,net
27172,Kurtis,daily,net
26765,Kurtis,daily,net
26236,Kurtis,daily,net
26947,Kurtis,daily,net
27147,Kurtis,daily,net
27273,Kurtis,daily,net
27436,Kurtis,daily,net
26866,Kurtis,daily,net
27387,Kurtis,daily,net
26866,Kurtis,daily,net
26887,Kurtis,daily,net
25886,Kurtis,daily,net
27382,Kurtis,daily,net
26945,Kurtis,daily,net
26754,Kurtis,daily,net
26772,Kurtis,daily,net
26408,Kurtis,daily,net
26660,Kurtis,daily,net
27168,Kurtis,daily,net
27194,Kurtis,daily,net
26809,Kurtis,daily,net
27159,Kurtis,daily,net
27281,Kurtis,daily,net
27524,Kurtis,daily,net
26234,Kurtis,daily,net
27172,Kurtis,daily,net
27308,Kurtis,daily,net
27705,Kurtis,daily,net
27650,Kurtis,daily,net
26320,Kurtis,daily,net
27218,Kurtis,daily,net
27494,Kurtis,daily,net
26771,Kurtis,daily,net
26837,Kurtis,daily,net
25886,Kurtis,daily,net
27359,Kurtis,daily,net
27653,Kurtis,daily,net
27704,Kurtis,daily,net
26787,Kurtis,daily,net
26752,Kurtis,daily,net
26709,Kurtis,daily,net
26830,Kurtis,daily,net
26587,Kurtis,daily,net
26022,Kurtis,daily,net
27177,Kurtis,daily,net
26697,Kurtis,daily,net
27232,Kurtis,daily,net
26846,Kurtis,daily,net
26890,Kurtis,daily,net
26764,Kurtis,daily,net
26242,Kurtis,daily,net
26099,Kurtis,daily,net
27704,Kurtis,daily,net
25892,Kurtis,daily,net
26943,Kurtis,daily,net
26964,Kurtis,daily,net
27680,Kurtis,daily,net
26233,Kurtis,daily,net
26865,Kurtis,daily,net
27356,Kurtis,daily,net
27195,Kurtis,daily,net
26664,Kurtis,daily,net
26240,Kurtis,daily,net
27333,Kurtis,daily,net
26771,Kurtis,daily,net
27382,Kurtis,daily,net
26846,Kurtis,daily,net
27214,Kurtis,daily,net
27671,Kurtis,daily,net
26684,Kurtis,daily,net
27066,Kurtis,daily,net
26786,Kurtis,daily,net
26584,Kurtis,daily,net
26700,Kurtis,daily,net
26691,Kurtis,daily,net
26846,Kurtis,daily,net
26695,Kurtis,daily,net
26639,Kurtis,daily,net
27468,Kurtis,daily,net
27359,Kurtis,daily,net
26320,Kurtis,daily,net
27198,Kurtis,daily,net
26691,Kurtis,daily,net
26320,Kurtis,daily,net
26772,Kurtis,daily,net
26022,Kurtis,daily,net
26791,Kurtis,daily,net
27161,Kurtis,daily,net
26834,Kurtis,daily,net
26851,Kurtis,daily,net
27653,Kurtis,daily,net
27147,Kurtis,daily,net
26866,Kurtis,daily,net
25866,Kurtis,daily,net
26664,Kurtis,daily,net
26932,Kurtis,daily,net
27101,Kurtis,daily,net
26890,Kurtis,daily,net
27227,Kurtis,daily,net
26709,Kurtis,daily,net
27547,Kurtis,daily,net
26691,Kurtis,daily,net
26684,Kurtis,daily,net
26558,Kurtis,daily,net
26099,Kurtis,daily,net
26169,Kurtis,daily,net
27215,Kurtis,daily,net
27750,Kurtis,daily,net
26205,Kurtis,daily,net
26239,Kurtis,daily,net
27295,Kurtis,daily,net
26890,Kurtis,daily,net
26690,Kurtis,daily,net
26696,Kurtis,daily,net
27234,Kurtis,daily,net
27416,Kurtis,daily,net
26853,Kurtis,daily,net
26648,Kurtis,daily,net
26699,Kurtis,daily,net
27167,Kurtis,daily,net
27759,Kurtis,daily,net
26206,Kurtis,daily,net
26694,Kurtis,daily,net
27520,Kurtis,daily,net
27342,Kurtis,daily,net
27193,Kurtis,daily,net
27065,Kurtis,daily,net
27473,Kurtis,daily,net
26855,Kurtis,daily,net
27431,Kurtis,daily,net
27384,Kurtis,daily,net
27473,Kurtis,daily,net
26171,Kurtis,daily,net
26023,Kurtis,daily,net
27100,Kurtis,daily,net
26300,Kurtis,daily,net
27411,Kurtis,daily,net
26859,Kurtis,daily,net
26856,Kurtis,daily,net
27170,Kurtis,daily,net
26707,Kurtis,daily,net
27741,Kurtis,daily,net
25843,Kurtis,daily,net
25896,Kurtis,daily,net
27037,Kurtis,daily,net
26171,Kurtis,daily,net
26859,Kurtis,daily,net
26206,Kurtis,daily,net
26648,Kurtis,daily,net
26792,Kurtis,daily,net
26915,Kurtis,daily,net
27520,Kurtis,daily,net
26924,Kurtis,daily,net
25896,Kurtis,daily,net
27543,Kurtis,daily,net
26827,Kurtis,daily,net
25840,Kurtis,daily,net
26848,Kurtis,daily,net
27192,Kurtis,daily,net
26171,Kurtis,daily,net
26180,Kurtis,daily,net
27297,Kurtis,daily,net
26915,Kurtis,daily,net
26924,Kurtis,daily,net
26836,Kurtis,daily,net
26840,Kurtis,daily,net
27633,Kurtis,daily,net
27384,Kurtis,daily,net
26827,Kurtis,daily,net
27319,Kurtis,daily,net
27229,Kurtis,daily,net
27773,Kurtis,daily,net
26208,Kurtis,daily,net
26801,Kurtis,daily,net
26919,Kurtis,daily,net
27065,Kurtis,daily,net
27505,Kurtis,daily,net
27342,Kurtis,daily,net
27297,Kurtis,daily,net
27527,Kurtis,daily,net
26180,Kurtis,daily,net
27741,Kurtis,daily,net
26696,Kurtis,daily,net
27397,Kurtis,daily,net
27358,Kurtis,daily,net
26406,Kurtis,daily,net
27431,Kurtis,daily,net
27546,Kurtis,daily,net
27472,Kurtis,daily,net
27358,Kurtis,daily,net
27712,Kurtis,daily,net
27297,Kurtis,daily,net
27543,Kurtis,daily,net
26919,Kurtis,daily,net
27441,Kurtis,daily,net
26573,Kurtis,daily,net
27679,Kurtis,daily,net
26573,Kurtis,daily,net
27752,Kurtis,daily,net
27279,Kurtis,daily,net
27231,Kurtis,daily,net
26638,Kurtis,daily,net
27234,Kurtis,daily,net
27711,Kurtis,daily,net
26017,Kurtis,daily,net
26856,Kurtis,daily,net
27711,Kurtis,daily,net
27180,Kurtis,daily,net
26126,Kurtis,daily,net
27178,Kurtis,daily,net
27584,Kurtis,daily,net
27170,Kurtis,daily,net
26704,Kurtis,daily,net
25927,Kurtis,daily,net
26836,Kurtis,daily,net
27741,Kurtis,daily,net
26941,Kurtis,daily,net
27543,Kurtis,daily,net
27309,Kurtis,daily,net
27411,Kurtis,daily,net
26917,Kurtis,daily,net
26796,Kurtis,daily,net
27555,Kurtis,daily,net
26915,Kurtis,daily,net
27520,Kurtis,daily,net
27234,Kurtis,daily,net
27759,Kurtis,daily,net
27532,Kurtis,daily,net
27193,Kurtis,daily,net
27632,Kurtis,daily,net
26933,Kurtis,daily,net
25927,Kurtis,daily,net
25840,Kurtis,daily,net
26983,Kurtis,daily,net
26801,Kurtis,daily,net
26699,Kurtis,daily,net
27543,Kurtis,daily,net
27178,Kurtis,daily,net
26226,Kurtis,daily,net
27431,Kurtis,daily,net
26180,Kurtis,daily,net
27411,Kurtis,daily,net
26573,Kurtis,daily,net
27773,Kurtis,daily,net
26126,Kurtis,daily,net
26648,Kurtis,daily,net
26983,Kurtis,daily,net
26919,Kurtis,daily,net
26917,Kurtis,daily,net
26797,Kurtis,daily,net
26836,Kurtis,daily,net
27543,Kurtis,daily,net
27521,Kurtis,daily,net
26573,Kurtis,daily,net
25960,Kurtis,daily,net
26648,Kurtis,daily,net
27712,Kurtis,daily,net
27310,Kurtis,daily,net
26653,Kurtis,daily,net
27279,Kurtis,daily,net
26729,Kurtis,daily,net
26171,Kurtis,daily,net
26836,Kurtis,daily,net
25912,Kurtis,daily,net
26917,Kurtis,daily,net
27505,Kurtis,daily,net
26182,Kurtis,daily,net
27741,Kurtis,daily,net
27759,Kurtis,daily,net
27632,Kurtis,daily,net
25923,Kurtis,daily,net
26648,Kurtis,daily,net
27383,Kurtis,daily,net
27310,Kurtis,daily,net
27180,Kurtis,daily,net
26924,Kurtis,daily,net
26848,Kurtis,daily,net
27772,Kurtis,daily,net
26208,Kurtis,daily,net
26919,Kurtis,daily,net
27559,Kurtis,daily,net
27170,Kurtis,daily,net
26126,Kurtis,daily,net
27231,Kurtis,daily,net
26690,Kurtis,daily,net
26933,Kurtis,daily,net
26796,Kurtis,daily,net
26801,Kurtis,daily,net
27773,Kurtis,daily,net
27772,Kurtis,daily,net
27525,Kurtis,daily,net
27555,Kurtis,daily,net
27529,Kurtis,daily,net
27193,Kurtis,daily,net
26792,Kurtis,daily,net
26840,Kurtis,daily,net
27708,Kurtis,daily,net
27708,Kurtis,daily,net
27358,Kurtis,daily,net
26693,Kurtis,daily,net
26725,Kurtis,daily,net
26583,Kurtis,daily,net
26918,Kurtis,daily,net
27148,Kurtis,daily,net
26972,Kurtis,daily,net
26309,Kurtis,daily,net
26220,Kurtis,daily,net
27132,Kurtis,daily,net
26392,Kurtis,daily,net
26309,Kurtis,daily,net
26582,Kurtis,daily,net
26808,Kurtis,daily,net
27211,Kurtis,daily,net
27339,Kurtis,daily,net
26725,Kurtis,daily,net
27038,Kurtis,daily,net
26582,Kurtis,daily,net
25958,Kurtis,daily,net
26808,Kurtis,daily,net
27265,Kurtis,daily,net
27519,Kurtis,daily,net
27176,Kurtis,daily,net
26825,Kurtis,daily,net
27548,Kurtis,daily,net
26307,Kurtis,daily,net
27038,Kurtis,daily,net
27587,Kurtis,daily,net
26583,Kurtis,daily,net
27038,Kurtis,daily,net
27217,Kurtis,daily,net
26708,Kurtis,daily,net
26744,Kurtis,daily,net
26946,Kurtis,daily,net
26049,Kurtis,daily,net
27775,Kurtis,daily,net
26049,Kurtis,daily,net
27072,Kurtis,daily,net
27223,Kurtis,daily,net
26686,Kurtis,daily,net
26727,Kurtis,daily,net
26645,Kurtis,daily,net
27509,Kurtis,daily,net
27223,Kurtis,daily,net
27651,Kurtis,daily,net
27072,Kurtis,daily,net
27217,Kurtis,daily,net
27132,Kurtis,daily,net
27578,Kurtis,daily,net
26833,Kurtis,daily,net
26728,Kurtis,daily,net
27305,Kurtis,daily,net
27124,Kurtis,daily,net
26273,Kurtis,daily,net
27474,Kurtis,daily,net
27580,Kurtis,daily,net
26918,Kurtis,daily,net
25958,Kurtis,daily,net
27300,Kurtis,daily,net
26803,Kurtis,daily,net
27578,Kurtis,daily,net
27474,Kurtis,daily,net
27188,Kurtis,daily,net
26698,Kurtis,daily,net
27509,Kurtis,daily,net
27586,Kurtis,daily,net
27591,Kurtis,daily,net
27509,Kurtis,daily,net
26861,Kurtis,daily,net
27580,Kurtis,daily,net
27675,Kurtis,daily,net
27439,Kurtis,daily,net
27775,Kurtis,daily,net
26536,Kurtis,daily,net
26728,Kurtis,daily,net
26884,Kurtis,daily,net
26438,Kurtis,daily,net
27223,Kurtis,daily,net
26784,Kurtis,daily,net
27132,Kurtis,daily,net
26805,Kurtis,daily,net
25961,Kurtis,daily,net
25928,Kurtis,daily,net
25926,Kurtis,daily,net
26645,Kurtis,daily,net
26392,Kurtis,daily,net
26725,Kurtis,daily,net
26407,Kurtis,daily,net
26816,Kurtis,daily,net
27213,Kurtis,daily,net
26725,Kurtis,daily,net
27004,Kurtis,daily,net
26806,Kurtis,daily,net
27403,Kurtis,daily,net
26861,Kurtis,daily,net
27339,Kurtis,daily,net
26392,Kurtis,daily,net
27403,Kurtis,daily,net
26825,Kurtis,daily,net
27166,Kurtis,daily,net
27775,Kurtis,daily,net
26392,Kurtis,daily,net
26816,Kurtis,daily,net
26123,Kurtis,daily,net
26728,Kurtis,daily,net
26728,Kurtis,daily,net
26850,Kurtis,daily,net
27476,Kurtis,daily,net
26946,Kurtis,daily,net
27300,Kurtis,daily,net
26886,Kurtis,daily,net
26651,Kurtis,daily,net
27272,Kurtis,daily,net
27331,Kurtis,daily,net
26210,Kurtis,daily,net
25841,Kurtis,daily,net
26016,Kurtis,daily,net
26598,Kurtis,daily,net
26222,Kurtis,daily,net
26849,Kurtis,daily,net
27300,Kurtis,daily,net
25898,Kurtis,daily,net
27439,Kurtis,daily,net
27132,Kurtis,daily,net
27230,Kurtis,daily,net
26744,Kurtis,daily,net
25845,Kurtis,daily,net
27586,Kurtis,daily,net
26886,Kurtis,daily,net
26884,Kurtis,daily,net
27272,Kurtis,daily,net
26645,Kurtis,daily,net
27072,Kurtis,daily,net
26916,Kurtis,daily,net
27651,Kurtis,daily,net
26392,Kurtis,daily,net
26825,Kurtis,daily,net
26833,Kurtis,daily,net
26805,Kurtis,daily,net
26849,Kurtis,daily,net
26862,Kurtis,daily,net
26702,Kurtis,daily,net
26886,Kurtis,daily,net
26708,Kurtis,daily,net
27148,Kurtis,daily,net
27474,Kurtis,daily,net
26810,Kurtis,daily,net
26833,Kurtis,daily,net
26860,Kurtis,daily,net
26588,Kurtis,daily,net
26708,Kurtis,daily,net
27211,Kurtis,daily,net
27339,Kurtis,daily,net
26309,Kurtis,daily,net
25898,Kurtis,daily,net
27072,Kurtis,daily,net
27331,Kurtis,daily,net
26588,Kurtis,daily,net
27322,Kurtis,daily,net
27656,Kurtis,daily,net
26210,Kurtis,daily,net
26016,Kurtis,daily,net
26946,Kurtis,daily,net
26841,Kurtis,daily,net
27176,Kurtis,daily,net
26849,Kurtis,daily,net
27492,Kurtis,daily,net
27754,Kurtis,daily,net
26725,Kurtis,daily,net
26885,Kurtis,daily,net
26645,Kurtis,daily,net
27217,Kurtis,daily,net
26850,Kurtis,daily,net
26918,Kurtis,daily,net
26934,Kurtis,daily,net
27004,Kurtis,daily,net
27550,Kurtis,daily,net
27519,Kurtis,daily,net
26808,Kurtis,daily,net
26204,Kurtis,daily,net
27560,Kurtis,daily,net
26582,Kurtis,daily,net
27322,Kurtis,daily,net
27439,Kurtis,daily,net
26636,Kurtis,daily,net
26810,Kurtis,daily,net
26849,Kurtis,daily,net
26783,Kurtis,daily,net
27493,Kurtis,daily,net
26726,Kurtis,daily,net
26818,Kurtis,daily,net
27067,Kurtis,daily,net
27103,Kurtis,daily,net
26794,Kurtis,daily,net
25893,Kurtis,daily,net
27174,Kurtis,daily,net
26701,Kurtis,daily,net
26948,Kurtis,daily,net
27499,Kurtis,daily,net
27398,Kurtis,daily,net
27557,Kurtis,daily,net
27434,Kurtis,daily,net
27434,Kurtis,daily,net
27398,Kurtis,daily,net
26931,Kurtis,daily,net
26914,Kurtis,daily,net
26783,Kurtis,daily,net
26868,Kurtis,daily,net
26637,Kurtis,daily,net
26272,Kurtis,daily,net
25929,Kurtis,daily,net
27502,Kurtis,daily,net
27125,Kurtis,daily,net
26820,Kurtis,daily,net
27122,Kurtis,daily,net
27285,Kurtis,daily,net
26814,Kurtis,daily,net
25893,Kurtis,daily,net
26231,Kurtis,daily,net
26857,Kurtis,daily,net
27381,Kurtis,daily,net
27758,Kurtis,daily,net
27512,Kurtis,daily,net
27747,Kurtis,daily,net
25894,Kurtis,daily,net
26867,Kurtis,daily,net
27125,Kurtis,daily,net
26984,Kurtis,daily,net
27512,Kurtis,daily,net
26749,Kurtis,daily,net
26782,Kurtis,daily,net
27002,Kurtis,daily,net
26295,Kurtis,daily,net
27751,Kurtis,daily,net
26597,Kurtis,daily,net
27163,Kurtis,daily,net
27285,Kurtis,daily,net
27434,Kurtis,daily,net
27585,Kurtis,daily,net
27585,Kurtis,daily,net
26794,Kurtis,daily,net
27224,Kurtis,daily,net
27224,Kurtis,daily,net
26820,Kurtis,daily,net
26868,Kurtis,daily,net
26814,Kurtis,daily,net
27467,Kurtis,daily,net
27561,Kurtis,daily,net
27418,Kurtis,daily,net
26637,Kurtis,daily,net
26867,Kurtis,daily,net
26948,Kurtis,daily,net
26794,Kurtis,daily,net
26745,Kurtis,daily,net
27285,Kurtis,daily,net
27414,Kurtis,daily,net
26652,Kurtis,daily,net
26370,Kurtis,daily,net
27246,Kurtis,daily,net
27253,Kurtis,daily,net
27307,Kurtis,daily,net
26074,Kurtis,daily,net
27758,Kurtis,daily,net
27644,Kurtis,daily,net
27448,Kurtis,daily,net
26914,Kurtis,daily,net
26271,Kurtis,daily,net
26125,Kurtis,daily,net
26914,Kurtis,daily,net
27557,Kurtis,daily,net
27432,Kurtis,daily,net
27103,Kurtis,daily,net
27646,Kurtis,daily,net
27221,Kurtis,daily,net
26783,Kurtis,daily,net
26864,Kurtis,daily,net
25893,Kurtis,daily,net
26412,Kurtis,daily,net
26663,Kurtis,daily,net
26749,Kurtis,daily,net
25963,Kurtis,daily,net
27163,Kurtis,daily,net
27467,Kurtis,daily,net
25839,Kurtis,daily,net
26231,Kurtis,daily,net
26807,Kurtis,daily,net
26838,Kurtis,daily,net
27418,Kurtis,daily,net
27307,Kurtis,daily,net
26783,Kurtis,daily,net
27585,Kurtis,daily,net
27286,Kurtis,daily,net
26794,Kurtis,daily,net
27554,Kurtis,daily,net
27526,Kurtis,daily,net
27253,Kurtis,daily,net
27512,Kurtis,daily,net
27187,Kurtis,daily,net
26297,Kurtis,daily,net
26948,Kurtis,daily,net
26820,Kurtis,daily,net
27557,Kurtis,daily,net
27131,Kurtis,daily,net
27418,Kurtis,daily,net
26437,Kurtis,daily,net
27036,Kurtis,daily,net
26227,Kurtis,daily,net
26794,Kurtis,daily,net
26125,Kurtis,daily,net
26783,Kurtis,daily,net
27163,Kurtis,daily,net
27435,Kurtis,daily,net
26926,Kurtis,daily,net
26272,Kurtis,daily,net
27253,Kurtis,daily,net
27098,Kurtis,daily,net
26370,Kurtis,daily,net
26867,Kurtis,daily,net
26666,Kurtis,daily,net
26405,Kurtis,daily,net
27418,Kurtis,daily,net
27169,Kurtis,daily,net
26847,Kurtis,daily,net
26869,Kurtis,daily,net
26782,Kurtis,daily,net
27747,Kurtis,daily,net
27067,Kurtis,daily,net
27224,Kurtis,daily,net
25909,Kurtis,daily,net
26165,Kurtis,daily,net
26857,Kurtis,daily,net
27418,Kurtis,daily,net
27414,Kurtis,daily,net
26726,Kurtis,daily,net
26984,Kurtis,daily,net
26231,Kurtis,daily,net
26914,Kurtis,daily,net
26370,Kurtis,daily,net
27165,Kurtis,daily,net
27645,Kurtis,daily,net
26984,Kurtis,daily,net
27163,Kurtis,daily,net
27646,Kurtis,daily,net
26798,Kurtis,daily,net
26225,Kurtis,daily,net
27747,Kurtis,daily,net
26663,Kurtis,daily,net
26926,Kurtis,daily,net
27253,Kurtis,daily,net
27515,Kurtis,daily,net
26412,Kurtis,daily,net
27263,Kurtis,daily,net
26795,Kurtis,daily,net
27348,Kurtis,daily,net
26723,Kurtis,daily,net
27294,Kurtis,daily,net
27199,Kurtis,daily,net
26134,Kurtis,daily,net
26616,Kurtis,daily,net
25891,Kurtis,daily,net
27437,Kurtis,daily,net
27348,Kurtis,daily,net
26658,Kurtis,daily,net
27075,Kurtis,daily,net
26130,Kurtis,daily,net
26315,Kurtis,daily,net
27605,Kurtis,daily,net
26097,Kurtis,daily,net
27267,Kurtis,daily,net
26518,Kurtis,daily,net
26912,Kurtis,daily,net
26576,Kurtis,daily,net
27605,Kurtis,daily,net
27263,Kurtis,daily,net
26576,Kurtis,daily,net
27426,Kurtis,daily,net
27263,Kurtis,daily,net
25789,Kurtis,daily,net
27064,Kurtis,daily,net
26080,Kurtis,daily,net
26097,Kurtis,daily,net
25834,Kurtis,daily,net
26669,Kurtis,daily,net
26723,Kurtis,daily,net
27267,Kurtis,daily,net
27605,Kurtis,daily,net
27267,Kurtis,daily,net
28392,Kurtis,daily,net
26720,Kurtis,daily,net
25851,Kurtis,daily,net
26097,Kurtis,daily,net
27348,Kurtis,daily,net
27437,Kurtis,daily,net
27426,Kurtis,daily,net
27075,Kurtis,daily,net
27605,Kurtis,daily,net
26131,Kurtis,daily,net
27535,Kurtis,daily,net
27118,Kurtis,daily,net
27136,Kurtis,daily,net
26720,Kurtis,daily,net
27330,Kurtis,daily,net
27683,Kurtis,daily,net
27064,Kurtis,daily,net
27617,Kurtis,daily,net
26121,Kurtis,daily,net
27437,Kurtis,daily,net
25820,Kurtis,daily,net
27189,Kurtis,daily,net
26986,Kurtis,daily,net
26669,Kurtis,daily,net
27294,Kurtis,daily,net
27189,Kurtis,daily,net
27057,Kurtis,daily,net
28392,Kurtis,daily,net
26510,Kurtis,daily,net
27189,Kurtis,daily,net
26069,Kurtis,daily,net
26616,Kurtis,daily,net
27348,Kurtis,daily,net
25847,Kurtis,daily,net
26669,Kurtis,daily,net
28222,Kurtis,daily,net
25834,Kurtis,daily,net
26962,Kurtis,daily,net
26069,Kurtis,daily,net
26315,Kurtis,daily,net
27371,Kurtis,daily,net
27199,Kurtis,daily,net
26844,Kurtis,daily,net
27267,Kurtis,daily,net
26627,Kurtis,daily,net
28392,Kurtis,daily,net
28392,Kurtis,daily,net
26066,Kurtis,daily,net
27484,Kurtis,daily,net
26080,Kurtis,daily,net
25851,Kurtis,daily,net
26643,Kurtis,daily,net
27357,Kurtis,daily,net
26096,Kurtis,daily,net
26322,Kurtis,daily,net
26988,Kurtis,daily,net
26760,Kurtis,daily,net
28019,Kurtis,daily,net
26512,Kurtis,daily,net
26722,Kurtis,daily,net
27270,Kurtis,daily,net
26061,Kurtis,daily,net
27270,Kurtis,daily,net
26988,Kurtis,daily,net
27270,Kurtis,daily,net
26217,Kurtis,daily,net
26316,Kurtis,daily,net
26722,Kurtis,daily,net
25821,Kurtis,daily,net
26053,Kurtis,daily,net
26621,Kurtis,daily,net
26136,Kurtis,daily,net
27641,Kurtis,daily,net
27390,Kurtis,daily,net
25821,Kurtis,daily,net
28427,Kurtis,daily,net
26991,Kurtis,daily,net
26939,Kurtis,daily,net
27480,Kurtis,daily,net
26098,Kurtis,daily,net
27490,Kurtis,daily,net
26528,Kurtis,daily,net
27357,Kurtis,daily,net
26082,Kurtis,daily,net
28019,Kurtis,daily,net
26643,Kurtis,daily,net
26530,Kurtis,daily,net
26991,Kurtis,daily,net
27370,Kurtis,daily,net
25821,Kurtis,daily,net
28427,Kurtis,daily,net
27469,Kurtis,daily,net
27357,Kurtis,daily,net
25852,Kurtis,daily,net
26316,Kurtis,daily,net
26136,Kurtis,daily,net
28401,Kurtis,daily,net
25836,Kurtis,daily,net
26136,Kurtis,daily,net
26081,Kurtis,daily,net
26760,Kurtis,daily,net
26081,Kurtis,daily,net
25821,Kurtis,daily,net
25821,Kurtis,daily,net
26061,Kurtis,daily,net
26722,Kurtis,daily,net
26322,Kurtis,daily,net
27317,Kurtis,daily,net
27641,Kurtis,daily,net
27270,Kurtis,daily,net
27317,Kurtis,daily,net
27572,Kurtis,daily,net
26512,Kurtis,daily,net
