id,Category,blouse_pattern,border,border_width,occasion,ornamentation,pallu_details,transparency
15105,Sarees,same as border,temple border,big border,party,jacquard,default,no
15194,Sarees,same as border,default,small border,party,default,same as saree,no
15217,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
15318,Sarees,same as border,zari,big border,daily,jacquard,zari woven,yes
15322,Sarees,default,zari,big border,party,jacquard,same as saree,no
15465,Sarees,default,zari,small border,party,default,default,no
15501,Sarees,same as border,zari,big border,daily,jacquard,zari woven,yes
15614,Sarees,solid,zari,small border,party,default,default,no
15646,Sarees,same as border,zari,big border,traditional,jacquard,zari woven,no
15789,Sarees,same as saree,temple border,big border,daily,jacquard,zari woven,yes
15820,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
15918,Sarees,same as border,default,small border,party,tassels and latkans,zari woven,no
15987,Sarees,same as saree,default,small border,party,default,default,no
15995,Sarees,same as border,default,small border,party,default,same as saree,no
16042,Sarees,same as saree,temple border,big border,daily,jacquard,zari woven,yes
16045,Sarees,same as border,zari,big border,party,jacquard,zari woven,yes
16192,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
16220,Sarees,same as border,default,small border,party,default,same as saree,no
16246,Sarees,same as border,woven design,small border,traditional,jacquard,default,no
16262,Sarees,same as saree,zari,big border,daily,tassels and latkans,same as saree,no
16468,Sarees,same as saree,zari,big border,daily,tassels and latkans,default,no
16581,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
16618,Sarees,solid,woven design,big border,daily,jacquard,zari woven,no
16662,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
16723,Sarees,solid,no border,no border,party,jacquard,zari woven,no
16762,Sarees,same as saree,zari,big border,party,tassels and latkans,same as saree,no
16843,Sarees,same as border,temple border,big border,party,jacquard,zari woven,no
16890,Sarees,same as border,zari,big border,party,tassels and latkans,zari woven,no
16896,Sarees,same as saree,zari,big border,party,tassels and latkans,same as saree,no
16922,Sarees,default,zari,big border,traditional,jacquard,same as saree,no
17005,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
17031,Sarees,same as border,zari,small border,traditional,tassels and latkans,zari woven,no
17152,Sarees,same as border,zari,big border,traditional,tassels and latkans,zari woven,no
17205,Sarees,same as border,zari,big border,traditional,jacquard,default,no
17225,Sarees,solid,zari,small border,traditional,default,same as saree,no
17529,Sarees,same as border,zari,small border,daily,jacquard,zari woven,yes
17638,Sarees,same as border,default,small border,party,default,same as saree,no
17826,Sarees,same as saree,temple border,small border,traditional,default,zari woven,no
18045,Sarees,same as saree,temple border,big border,daily,jacquard,zari woven,yes
18131,Sarees,same as saree,woven design,small border,daily,default,same as saree,no
18150,Sarees,same as border,zari,big border,party,tassels and latkans,same as saree,no
18311,Sarees,same as saree,temple border,big border,daily,jacquard,zari woven,yes
18642,Sarees,same as saree,woven design,big border,daily,default,same as saree,no
18758,Sarees,same as border,zari,big border,traditional,jacquard,same as saree,no
19013,Sarees,same as saree,woven design,big border,party,default,same as saree,no
19234,Sarees,same as border,zari,big border,traditional,jacquard,zari woven,no
19350,Sarees,same as border,temple border,big border,party,jacquard,default,no
19381,Sarees,same as border,temple border,big border,party,jacquard,zari woven,no
19384,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
19407,Sarees,same as saree,woven design,small border,daily,default,same as saree,no
19480,Sarees,default,woven design,big border,traditional,jacquard,zari woven,no
19534,Sarees,same as border,zari,big border,traditional,jacquard,same as saree,no
19661,Sarees,same as border,default,small border,party,tassels and latkans,same as saree,no
19738,Sarees,same as saree,zari,big border,party,tassels and latkans,default,no
19804,Sarees,same as saree,zari,small border,daily,default,default,no
19840,Sarees,same as saree,woven design,small border,traditional,default,same as saree,no
20273,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
20297,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
20396,Sarees,default,zari,big border,wedding,jacquard,zari woven,no
20412,Sarees,same as saree,default,small border,party,default,same as saree,no
20414,Sarees,default,zari,big border,traditional,jacquard,zari woven,no
20426,Sarees,solid,zari,big border,party,jacquard,zari woven,no
20864,Sarees,same as border,zari,small border,daily,jacquard,zari woven,yes
20967,Sarees,same as border,zari,small border,traditional,jacquard,same as saree,no
20997,Sarees,solid,temple border,small border,party,default,woven design,no
21179,Sarees,same as border,temple border,big border,party,jacquard,zari woven,no
21182,Sarees,default,zari,big border,traditional,jacquard,default,no
21192,Sarees,same as border,zari,no border,party,default,default,no
21289,Sarees,same as border,zari,big border,party,default,default,no
21403,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
21591,Sarees,same as border,zari,small border,party,tassels and latkans,default,no
21652,Sarees,same as border,zari,small border,party,jacquard,zari woven,yes
21728,Sarees,same as saree,zari,small border,traditional,tassels and latkans,same as saree,no
21903,Sarees,default,zari,big border,traditional,jacquard,default,no
21979,Sarees,same as saree,woven design,small border,traditional,default,same as saree,no
22092,Sarees,same as border,zari,big border,daily,jacquard,zari woven,yes
22120,Sarees,same as saree,zari,big border,traditional,jacquard,default,no
22128,Sarees,same as saree,woven design,big border,wedding,default,zari woven,no
22154,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
22160,Sarees,same as saree,zari,big border,traditional,jacquard,same as saree,no
22293,Sarees,same as border,zari,small border,daily,jacquard,zari woven,yes
22388,Sarees,same as border,default,small border,party,default,same as saree,no
22580,Sarees,default,zari,big border,traditional,jacquard,default,no
22669,Sarees,solid,zari,big border,party,tassels and latkans,zari woven,no
22725,Sarees,same as saree,temple border,big border,daily,jacquard,zari woven,yes
22736,Sarees,same as saree,temple border,big border,daily,jacquard,zari woven,yes
22942,Sarees,default,default,small border,party,default,same as saree,no
23068,Sarees,same as border,zari,small border,party,default,zari woven,no
23089,Sarees,same as border,temple border,small border,daily,jacquard,zari woven,yes
23159,Sarees,solid,default,small border,party,tassels and latkans,same as saree,no
23181,Sarees,same as border,zari,big border,party,jacquard,zari woven,no
23301,Sarees,same as border,default,small border,party,default,same as saree,no
23331,Sarees,default,zari,big border,traditional,jacquard,zari woven,no
23523,Sarees,default,no border,no border,traditional,jacquard,zari woven,no
23697,Sarees,same as saree,default,big border,traditional,default,default,no
23732,Sarees,same as saree,temple border,big border,daily,jacquard,zari woven,yes
23773,Sarees,default,zari,big border,traditional,jacquard,default,no
23794,Sarees,same as border,zari,big border,party,jacquard,same as saree,no
23801,Sarees,default,no border,no border,traditional,jacquard,zari woven,no
23821,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
23822,Sarees,solid,zari,big border,party,jacquard,zari woven,no
23907,Sarees,same as border,zari,small border,daily,jacquard,same as saree,no
23950,Sarees,same as border,temple border,big border,party,jacquard,zari woven,no
24086,Sarees,default,zari,big border,traditional,jacquard,default,no
24301,Sarees,default,zari,big border,traditional,jacquard,default,no
24326,Sarees,same as saree,woven design,small border,daily,default,same as saree,no
24425,Sarees,same as border,temple border,big border,daily,jacquard,zari woven,no
24559,Sarees,same as border,zari,big border,traditional,tassels and latkans,zari woven,no
24619,Sarees,same as border,temple border,big border,party,jacquard,zari woven,no
24849,Sarees,same as border,default,small border,party,default,same as saree,no
24955,Sarees,same as border,zari,big border,party,tassels and latkans,default,no
24993,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
25020,Sarees,same as border,zari,big border,party,jacquard,default,no
25300,Sarees,solid,zari,big border,traditional,tassels and latkans,same as saree,no
25421,Sarees,same as saree,woven design,small border,wedding,default,same as saree,no
25453,Sarees,same as saree,temple border,big border,daily,jacquard,zari woven,no
25577,Sarees,same as saree,woven design,big border,party,default,same as saree,no
25701,Sarees,same as saree,default,small border,party,default,same as saree,no
7749,Sarees,same as saree,woven design,small border,wedding,default,same as saree,no
8928,Sarees,same as saree,woven design,small border,wedding,default,same as saree,no
11168,Sarees,same as saree,zari,small border,wedding,default,zari woven,no
11254,Sarees,default,zari,big border,wedding,jacquard,zari woven,no
13162,Sarees,same as saree,woven design,small border,wedding,default,same as saree,no
13863,Sarees,default,woven design,big border,wedding,jacquard,zari woven,no
14062,Sarees,same as saree,zari,small border,wedding,default,zari woven,no
14941,Sarees,default,zari,big border,wedding,jacquard,zari woven,no
15723,Sarees,default,zari,big border,wedding,jacquard,zari woven,no
17424,Sarees,same as saree,zari,small border,wedding,default,zari woven,no
17499,Sarees,same as border,zari,big border,wedding,jacquard,zari woven,no
17747,Sarees,same as saree,solid,small border,wedding,default,zari woven,no
18385,Sarees,same as saree,woven design,small border,wedding,default,same as saree,no
18686,Sarees,default,woven design,big border,wedding,jacquard,zari woven,no
18897,Sarees,same as saree,zari,small border,wedding,tassels and latkans,same as saree,no
19815,Sarees,same as saree,zari,no border,wedding,default,zari woven,no
20054,Sarees,same as border,woven design,big border,wedding,jacquard,same as saree,no
20396,Sarees,default,zari,big border,wedding,jacquard,zari woven,no
22128,Sarees,same as saree,woven design,big border,wedding,default,zari woven,no
25421,Sarees,same as saree,woven design,small border,wedding,default,same as saree,no
21192,Sarees,same as border,zari,no border,party,default,default,no
7634,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
7991,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
8054,Sarees,solid,no border,no border,party,jacquard,zari woven,no
8178,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
8193,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
8332,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
8333,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
8629,Sarees,same as saree,zari,small border,party,default,woven design,no
8663,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
8675,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
8699,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
8842,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
8882,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
9105,Sarees,default,zari,big border,party,jacquard,default,no
9285,Sarees,same as saree,zari,small border,party,jacquard,woven design,yes
9397,Sarees,same as saree,zari,small border,traditional,jacquard,woven design,yes
9500,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
9602,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
9819,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
9962,Sarees,same as border,default,small border,party,default,same as saree,no
10104,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
10466,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
10480,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
10541,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
10697,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
10729,Sarees,default,zari,big border,traditional,jacquard,woven design,no
10992,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
11025,Sarees,same as saree,default,small border,party,default,same as saree,no
11124,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
11229,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
11271,Sarees,same as saree,zari,small border,traditional,jacquard,woven design,yes
11532,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
11591,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
11674,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
11729,Sarees,same as saree,zari,small border,traditional,jacquard,woven design,yes
11763,Sarees,same as border,default,small border,party,default,same as saree,no
11789,Sarees,same as saree,zari,small border,traditional,jacquard,woven design,yes
11917,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
12032,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
12471,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
12896,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
12897,Sarees,same as saree,zari,small border,party,jacquard,woven design,yes
13503,Sarees,default,zari,big border,traditional,jacquard,default,no
13580,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
14138,Sarees,same as saree,zari,small border,traditional,jacquard,woven design,yes
14158,Sarees,same as saree,zari,small border,party,jacquard,woven design,yes
14165,Sarees,same as border,default,small border,party,tassels and latkans,same as saree,no
14352,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
14371,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
14654,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
14752,Sarees,same as saree,zari,small border,party,jacquard,woven design,yes
14949,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
15017,Sarees,same as saree,default,small border,party,default,same as saree,yes
15091,Sarees,solid,zari,big border,traditional,jacquard,zari woven,no
15258,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
15567,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
15610,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
15669,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
15683,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
15945,Sarees,solid,temple border,small border,party,default,woven design,no
16173,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
16358,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
16401,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
16492,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
16496,Sarees,same as border,default,small border,party,default,same as saree,no
16578,Sarees,same as saree,zari,small border,traditional,jacquard,woven design,yes
16602,Sarees,default,default,small border,party,tassels and latkans,same as saree,no
16630,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
16869,Sarees,default,woven design,small border,daily,jacquard,same as saree,no
16870,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
17405,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
17621,Sarees,same as saree,zari,small border,traditional,jacquard,woven design,yes
17741,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
18010,Sarees,same as border,zari,big border,traditional,tassels and latkans,zari woven,no
18063,Sarees,same as border,woven design,small border,daily,default,zari woven,no
18476,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
18965,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
19123,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
19148,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
19418,Sarees,same as saree,zari,small border,party,jacquard,woven design,yes
19467,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
19471,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
20412,Sarees,same as saree,default,small border,party,default,same as saree,no
20509,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
20512,Sarees,same as saree,zari,small border,party,default,woven design,no
20533,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
20891,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
20997,Sarees,solid,temple border,small border,party,default,woven design,no
21233,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
21252,Sarees,solid,zari,small border,traditional,tassels and latkans,same as saree,no
21440,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
21536,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
21550,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
21746,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
21757,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
21764,Sarees,same as saree,woven design,big border,party,jacquard,woven design,no
21844,Sarees,same as saree,zari,small border,party,jacquard,woven design,yes
21983,Sarees,same as saree,default,small border,party,default,same as saree,no
22049,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
22055,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
22120,Sarees,same as saree,zari,big border,traditional,jacquard,default,no
22409,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
22481,Sarees,same as saree,zari,small border,traditional,jacquard,woven design,yes
22489,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
22561,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
22580,Sarees,default,zari,big border,traditional,jacquard,default,no
22707,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
22826,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
22913,Sarees,same as saree,default,small border,party,default,same as saree,yes
22939,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
23062,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
23092,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
23113,Sarees,same as saree,zari,small border,party,jacquard,woven design,no
23188,Sarees,same as saree,zari,small border,party,default,woven design,no
23227,Sarees,solid,default,big border,party,default,same as saree,no
23523,Sarees,default,no border,no border,traditional,jacquard,zari woven,no
23576,Sarees,same as border,default,small border,party,tassels and latkans,same as saree,no
23794,Sarees,same as border,zari,big border,party,jacquard,same as saree,no
23913,Sarees,solid,temple border,big border,party,jacquard,zari woven,no
