id,Category,neck_collar,occassion,surface_styling
52161,Women Tops & Tunics,round neck,casual,
52162,Women Tops & Tunics,round neck,casual,
52183,Women Tops & Tunics,default,casual,
52184,Women Tops & Tunics,round neck,casual,
52185,Women Tops & Tunics,round neck,casual,
52186,Women Tops & Tunics,default,casual,
52191,Women Tops & Tunics,high,casual,
52198,Women Tops & Tunics,round neck,casual,
52208,Women Tops & Tunics,sweetheart neck,casual,
52213,Women Tops & Tunics,round neck,casual,
52215,Women Tops & Tunics,round neck,casual,
52222,Women Tops & Tunics,stylised,casual,
52239,Women Tops & Tunics,high,casual,
52243,Women Tops & Tunics,default,casual,
52246,Women Tops & Tunics,stylised,casual,
52247,Women Tops & Tunics,round neck,casual,
52255,Women Tops & Tunics,stylised,casual,
52262,Women Tops & Tunics,square neck,casual,
52266,Women Tops & Tunics,default,casual,
52267,Women Tops & Tunics,round neck,casual,
52269,Women Tops & Tunics,v-neck,casual,
52273,Women Tops & Tunics,sweetheart neck,casual,
52278,Women Tops & Tunics,default,casual,
52286,Women Tops & Tunics,default,casual,
52291,Women Tops & Tunics,v-neck,casual,
52297,Women Tops & Tunics,stylised,casual,
52315,Women Tops & Tunics,round neck,casual,
52317,Women Tops & Tunics,default,casual,
52325,Women Tops & Tunics,round neck,casual,
52326,Women Tops & Tunics,sweetheart neck,casual,
52330,Women Tops & Tunics,round neck,casual,
52336,Women Tops & Tunics,high,casual,
52341,Women Tops & Tunics,round neck,casual,
52352,Women Tops & Tunics,round neck,casual,
52355,Women Tops & Tunics,stylised,casual,
52359,Women Tops & Tunics,high,casual,
52361,Women Tops & Tunics,round neck,casual,
52363,Women Tops & Tunics,round neck,casual,
52376,Women Tops & Tunics,round neck,casual,
52377,Women Tops & Tunics,round neck,casual,
52379,Women Tops & Tunics,high,casual,
52380,Women Tops & Tunics,round neck,casual,
52383,Women Tops & Tunics,round neck,casual,
52390,Women Tops & Tunics,default,casual,
52393,Women Tops & Tunics,round neck,casual,
52396,Women Tops & Tunics,default,casual,
52405,Women Tops & Tunics,square neck,casual,
52408,Women Tops & Tunics,round neck,casual,
52413,Women Tops & Tunics,round neck,casual,
52417,Women Tops & Tunics,high,casual,
52423,Women Tops & Tunics,default,casual,
52427,Women Tops & Tunics,round neck,casual,
52428,Women Tops & Tunics,round neck,casual,
52431,Women Tops & Tunics,sweetheart neck,casual,
52436,Women Tops & Tunics,round neck,casual,
52440,Women Tops & Tunics,v-neck,casual,
52441,Women Tops & Tunics,v-neck,casual,
52442,Women Tops & Tunics,round neck,casual,
52449,Women Tops & Tunics,default,casual,
52450,Women Tops & Tunics,high,casual,
52451,Women Tops & Tunics,default,casual,
52453,Women Tops & Tunics,round neck,,applique
52458,Women Tops & Tunics,round neck,casual,
52461,Women Tops & Tunics,round neck,casual,
52462,Women Tops & Tunics,high,casual,
52463,Women Tops & Tunics,round neck,casual,
52466,Women Tops & Tunics,default,casual,
52470,Women Tops & Tunics,round neck,casual,
52475,Women Tops & Tunics,round neck,casual,
52481,Women Tops & Tunics,round neck,casual,
52482,Women Tops & Tunics,round neck,casual,
52484,Women Tops & Tunics,high,casual,
52490,Women Tops & Tunics,sweetheart neck,casual,
52503,Women Tops & Tunics,round neck,,applique
52505,Women Tops & Tunics,high,casual,
52506,Women Tops & Tunics,round neck,party,
52507,Women Tops & Tunics,round neck,casual,
52513,Women Tops & Tunics,round neck,casual,
52514,Women Tops & Tunics,round neck,casual,
52515,Women Tops & Tunics,round neck,casual,
52523,Women Tops & Tunics,round neck,casual,
52525,Women Tops & Tunics,round neck,casual,
52527,Women Tops & Tunics,round neck,casual,
52528,Women Tops & Tunics,round neck,casual,
52530,Women Tops & Tunics,round neck,casual,
52537,Women Tops & Tunics,round neck,casual,
52540,Women Tops & Tunics,round neck,casual,
52547,Women Tops & Tunics,default,casual,
52552,Women Tops & Tunics,round neck,casual,
52553,Women Tops & Tunics,high,casual,
52557,Women Tops & Tunics,round neck,casual,
52567,Women Tops & Tunics,round neck,party,
52569,Women Tops & Tunics,round neck,casual,
52574,Women Tops & Tunics,square neck,casual,
52589,Women Tops & Tunics,round neck,casual,
52595,Women Tops & Tunics,round neck,casual,
52598,Women Tops & Tunics,round neck,casual,
52605,Women Tops & Tunics,round neck,casual,
52607,Women Tops & Tunics,round neck,casual,
52613,Women Tops & Tunics,sweetheart neck,casual,
52623,Women Tops & Tunics,round neck,casual,
52625,Women Tops & Tunics,default,casual,
52631,Women Tops & Tunics,round neck,casual,
52634,Women Tops & Tunics,round neck,casual,
52635,Women Tops & Tunics,v-neck,casual,
52638,Women Tops & Tunics,high,casual,
52644,Women Tops & Tunics,round neck,casual,
52648,Women Tops & Tunics,stylised,casual,
52651,Women Tops & Tunics,round neck,casual,
52655,Women Tops & Tunics,round neck,casual,
52662,Women Tops & Tunics,round neck,casual,
52663,Women Tops & Tunics,round neck,casual,
52664,Women Tops & Tunics,stylised,casual,
52665,Women Tops & Tunics,round neck,casual,
52666,Women Tops & Tunics,default,casual,
52671,Women Tops & Tunics,round neck,casual,
52676,Women Tops & Tunics,round neck,casual,
52679,Women Tops & Tunics,round neck,casual,
52688,Women Tops & Tunics,round neck,casual,
52691,Women Tops & Tunics,round neck,casual,
52692,Women Tops & Tunics,default,casual,
52695,Women Tops & Tunics,square neck,casual,
52705,Women Tops & Tunics,v-neck,casual,
52706,Women Tops & Tunics,round neck,casual,
52707,Women Tops & Tunics,round neck,casual,
52710,Women Tops & Tunics,stylised,casual,
52712,Women Tops & Tunics,round neck,casual,
52713,Women Tops & Tunics,default,casual,
52714,Women Tops & Tunics,default,casual,
52724,Women Tops & Tunics,stylised,casual,
52725,Women Tops & Tunics,default,casual,
52726,Women Tops & Tunics,round neck,casual,
52734,Women Tops & Tunics,round neck,casual,
52738,Women Tops & Tunics,default,casual,
52740,Women Tops & Tunics,round neck,casual,
52745,Women Tops & Tunics,round neck,casual,
52746,Women Tops & Tunics,round neck,casual,
52749,Women Tops & Tunics,round neck,casual,
52754,Women Tops & Tunics,round neck,casual,
52755,Women Tops & Tunics,high,casual,
52756,Women Tops & Tunics,round neck,casual,
52760,Women Tops & Tunics,round neck,casual,
52763,Women Tops & Tunics,round neck,casual,
52764,Women Tops & Tunics,high,casual,
52770,Women Tops & Tunics,round neck,casual,
52774,Women Tops & Tunics,round neck,casual,
52776,Women Tops & Tunics,round neck,casual,
52778,Women Tops & Tunics,default,casual,
52790,Women Tops & Tunics,round neck,casual,
52795,Women Tops & Tunics,v-neck,casual,
52796,Women Tops & Tunics,round neck,casual,
52798,Women Tops & Tunics,high,casual,
52800,Women Tops & Tunics,sweetheart neck,casual,
52802,Women Tops & Tunics,round neck,casual,
52817,Women Tops & Tunics,default,casual,
52820,Women Tops & Tunics,high,casual,
52822,Women Tops & Tunics,sweetheart neck,casual,
52828,Women Tops & Tunics,round neck,casual,
52830,Women Tops & Tunics,v-neck,casual,
52840,Women Tops & Tunics,round neck,casual,
52844,Women Tops & Tunics,round neck,casual,
52846,Women Tops & Tunics,round neck,casual,
52847,Women Tops & Tunics,round neck,casual,
52849,Women Tops & Tunics,square neck,casual,
52851,Women Tops & Tunics,v-neck,casual,
52852,Women Tops & Tunics,v-neck,casual,
52857,Women Tops & Tunics,round neck,casual,
52858,Women Tops & Tunics,round neck,casual,
52860,Women Tops & Tunics,round neck,casual,
52861,Women Tops & Tunics,round neck,casual,
52866,Women Tops & Tunics,round neck,casual,
52868,Women Tops & Tunics,high,casual,
52870,Women Tops & Tunics,round neck,casual,
52874,Women Tops & Tunics,stylised,casual,
52875,Women Tops & Tunics,round neck,casual,
52877,Women Tops & Tunics,round neck,casual,
52885,Women Tops & Tunics,default,casual,
52894,Women Tops & Tunics,v-neck,casual,
52896,Women Tops & Tunics,v-neck,casual,
52903,Women Tops & Tunics,round neck,casual,
52913,Women Tops & Tunics,round neck,casual,
52915,Women Tops & Tunics,round neck,casual,
52919,Women Tops & Tunics,round neck,casual,
52921,Women Tops & Tunics,round neck,casual,
52922,Women Tops & Tunics,round neck,casual,
52924,Women Tops & Tunics,v-neck,party,
52927,Women Tops & Tunics,round neck,casual,
52932,Women Tops & Tunics,high,casual,
52937,Women Tops & Tunics,round neck,casual,
52948,Women Tops & Tunics,round neck,casual,
52952,Women Tops & Tunics,round neck,casual,
52954,Women Tops & Tunics,round neck,casual,
52974,Women Tops & Tunics,round neck,casual,
52977,Women Tops & Tunics,default,casual,
52978,Women Tops & Tunics,default,casual,
52985,Women Tops & Tunics,v-neck,casual,
52986,Women Tops & Tunics,round neck,casual,
52989,Women Tops & Tunics,round neck,casual,
53000,Women Tops & Tunics,round neck,casual,
53004,Women Tops & Tunics,high,casual,
53006,Women Tops & Tunics,round neck,,applique
53014,Women Tops & Tunics,stylised,casual,
53015,Women Tops & Tunics,round neck,casual,
53016,Women Tops & Tunics,round neck,casual,
53019,Women Tops & Tunics,round neck,casual,
53028,Women Tops & Tunics,round neck,casual,
53037,Women Tops & Tunics,round neck,casual,
53040,Women Tops & Tunics,round neck,casual,
53046,Women Tops & Tunics,round neck,casual,
53054,Women Tops & Tunics,default,casual,
53057,Women Tops & Tunics,default,casual,
53060,Women Tops & Tunics,round neck,casual,
53068,Women Tops & Tunics,stylised,casual,
53075,Women Tops & Tunics,high,casual,
53080,Women Tops & Tunics,round neck,,tie-ups
53082,Women Tops & Tunics,default,casual,
53086,Women Tops & Tunics,default,casual,
53092,Women Tops & Tunics,round neck,casual,
53104,Women Tops & Tunics,default,casual,
53119,Women Tops & Tunics,round neck,casual,
53122,Women Tops & Tunics,round neck,casual,
53131,Women Tops & Tunics,round neck,casual,
53133,Women Tops & Tunics,default,casual,
53139,Women Tops & Tunics,v-neck,casual,
53141,Women Tops & Tunics,round neck,casual,
53143,Women Tops & Tunics,round neck,casual,
53145,Women Tops & Tunics,round neck,casual,
53146,Women Tops & Tunics,v-neck,casual,
53148,Women Tops & Tunics,default,casual,
53149,Women Tops & Tunics,sweetheart neck,casual,
53156,Women Tops & Tunics,round neck,casual,
53158,Women Tops & Tunics,round neck,casual,
53159,Women Tops & Tunics,round neck,casual,
53162,Women Tops & Tunics,stylised,casual,
53163,Women Tops & Tunics,sweetheart neck,casual,
53166,Women Tops & Tunics,default,casual,
53176,Women Tops & Tunics,round neck,casual,
53177,Women Tops & Tunics,high,casual,
53179,Women Tops & Tunics,round neck,casual,
53180,Women Tops & Tunics,round neck,casual,
53187,Women Tops & Tunics,default,casual,
53189,Women Tops & Tunics,sweetheart neck,casual,
53194,Women Tops & Tunics,round neck,casual,
53198,Women Tops & Tunics,round neck,casual,
53203,Women Tops & Tunics,round neck,casual,
53206,Women Tops & Tunics,round neck,casual,
53210,Women Tops & Tunics,default,casual,
53211,Women Tops & Tunics,default,casual,
53225,Women Tops & Tunics,stylised,casual,
53236,Women Tops & Tunics,round neck,casual,
53238,Women Tops & Tunics,v-neck,casual,
53239,Women Tops & Tunics,default,casual,
53248,Women Tops & Tunics,high,casual,
53253,Women Tops & Tunics,v-neck,casual,
53256,Women Tops & Tunics,round neck,casual,
53258,Women Tops & Tunics,round neck,casual,
53278,Women Tops & Tunics,round neck,casual,
53280,Women Tops & Tunics,v-neck,casual,
53283,Women Tops & Tunics,round neck,casual,
53298,Women Tops & Tunics,round neck,casual,
53303,Women Tops & Tunics,round neck,casual,
53309,Women Tops & Tunics,high,casual,
53312,Women Tops & Tunics,default,casual,
53313,Women Tops & Tunics,round neck,casual,
53315,Women Tops & Tunics,stylised,casual,
53321,Women Tops & Tunics,round neck,casual,
53335,Women Tops & Tunics,round neck,casual,
53337,Women Tops & Tunics,round neck,casual,
53349,Women Tops & Tunics,round neck,casual,
53350,Women Tops & Tunics,round neck,casual,
53351,Women Tops & Tunics,stylised,casual,
53352,Women Tops & Tunics,stylised,casual,
53353,Women Tops & Tunics,round neck,casual,
53362,Women Tops & Tunics,round neck,casual,
53376,Women Tops & Tunics,round neck,casual,
53377,Women Tops & Tunics,round neck,casual,
53378,Women Tops & Tunics,v-neck,casual,
53380,Women Tops & Tunics,round neck,casual,
53386,Women Tops & Tunics,round neck,casual,
53388,Women Tops & Tunics,round neck,,ruffles
53395,Women Tops & Tunics,round neck,casual,
53404,Women Tops & Tunics,sweetheart neck,casual,
53405,Women Tops & Tunics,round neck,casual,
53406,Women Tops & Tunics,stylised,casual,
53408,Women Tops & Tunics,default,casual,
53410,Women Tops & Tunics,default,casual,
53411,Women Tops & Tunics,square neck,party,
53414,Women Tops & Tunics,round neck,casual,
53417,Women Tops & Tunics,round neck,casual,
53418,Women Tops & Tunics,round neck,casual,
53420,Women Tops & Tunics,square neck,casual,
53423,Women Tops & Tunics,round neck,casual,
53436,Women Tops & Tunics,round neck,casual,
53443,Women Tops & Tunics,default,casual,
53448,Women Tops & Tunics,round neck,casual,
53452,Women Tops & Tunics,round neck,casual,
53453,Women Tops & Tunics,round neck,casual,
53458,Women Tops & Tunics,default,casual,
53459,Women Tops & Tunics,round neck,casual,
53463,Women Tops & Tunics,round neck,casual,
53477,Women Tops & Tunics,default,casual,
53486,Women Tops & Tunics,round neck,casual,
53489,Women Tops & Tunics,v-neck,casual,
53500,Women Tops & Tunics,round neck,casual,
53505,Women Tops & Tunics,round neck,casual,
53508,Women Tops & Tunics,round neck,casual,
53510,Women Tops & Tunics,round neck,casual,
53512,Women Tops & Tunics,stylised,casual,
53513,Women Tops & Tunics,v-neck,casual,
53518,Women Tops & Tunics,round neck,casual,
53524,Women Tops & Tunics,round neck,casual,
53534,Women Tops & Tunics,round neck,casual,
53535,Women Tops & Tunics,square neck,casual,
53540,Women Tops & Tunics,round neck,,default
53542,Women Tops & Tunics,round neck,casual,
53545,Women Tops & Tunics,round neck,party,
53552,Women Tops & Tunics,default,casual,
53570,Women Tops & Tunics,round neck,casual,
53579,Women Tops & Tunics,round neck,,applique
53582,Women Tops & Tunics,round neck,casual,
53585,Women Tops & Tunics,high,casual,
53587,Women Tops & Tunics,round neck,casual,
53588,Women Tops & Tunics,v-neck,casual,
53589,Women Tops & Tunics,round neck,casual,
53592,Women Tops & Tunics,high,casual,
53594,Women Tops & Tunics,default,casual,
53598,Women Tops & Tunics,round neck,casual,
53600,Women Tops & Tunics,stylised,casual,
53602,Women Tops & Tunics,sweetheart neck,casual,
53607,Women Tops & Tunics,round neck,casual,
53617,Women Tops & Tunics,round neck,casual,
53627,Women Tops & Tunics,round neck,casual,
53632,Women Tops & Tunics,round neck,casual,
53637,Women Tops & Tunics,stylised,casual,
53644,Women Tops & Tunics,round neck,casual,
53645,Women Tops & Tunics,round neck,casual,
53650,Women Tops & Tunics,round neck,casual,
53657,Women Tops & Tunics,round neck,casual,
53662,Women Tops & Tunics,round neck,casual,
53663,Women Tops & Tunics,high,casual,
53667,Women Tops & Tunics,sweetheart neck,casual,
53675,Women Tops & Tunics,v-neck,casual,
53677,Women Tops & Tunics,round neck,casual,
53683,Women Tops & Tunics,round neck,casual,
53698,Women Tops & Tunics,default,casual,
53699,Women Tops & Tunics,round neck,casual,
53701,Women Tops & Tunics,default,casual,
53711,Women Tops & Tunics,default,casual,
53715,Women Tops & Tunics,round neck,casual,
53717,Women Tops & Tunics,round neck,casual,
53722,Women Tops & Tunics,round neck,casual,
53734,Women Tops & Tunics,round neck,casual,
53735,Women Tops & Tunics,round neck,casual,
53739,Women Tops & Tunics,round neck,casual,
53740,Women Tops & Tunics,round neck,casual,
53741,Women Tops & Tunics,round neck,casual,
53742,Women Tops & Tunics,round neck,casual,
53746,Women Tops & Tunics,round neck,casual,
53751,Women Tops & Tunics,round neck,casual,
53754,Women Tops & Tunics,sweetheart neck,casual,
53760,Women Tops & Tunics,high,casual,
53771,Women Tops & Tunics,stylised,casual,
53775,Women Tops & Tunics,default,casual,
53779,Women Tops & Tunics,round neck,casual,
53781,Women Tops & Tunics,round neck,casual,
53783,Women Tops & Tunics,round neck,casual,
53786,Women Tops & Tunics,round neck,casual,
53794,Women Tops & Tunics,round neck,casual,
53795,Women Tops & Tunics,sweetheart neck,casual,
53796,Women Tops & Tunics,round neck,casual,
53799,Women Tops & Tunics,round neck,casual,
53802,Women Tops & Tunics,square neck,casual,
53807,Women Tops & Tunics,round neck,casual,
53808,Women Tops & Tunics,round neck,casual,
53813,Women Tops & Tunics,round neck,casual,
53815,Women Tops & Tunics,round neck,casual,
53826,Women Tops & Tunics,round neck,casual,
53827,Women Tops & Tunics,round neck,casual,
53834,Women Tops & Tunics,default,casual,
53841,Women Tops & Tunics,round neck,casual,
53852,Women Tops & Tunics,default,casual,
53856,Women Tops & Tunics,round neck,casual,
53869,Women Tops & Tunics,round neck,casual,
53872,Women Tops & Tunics,v-neck,casual,
53877,Women Tops & Tunics,round neck,casual,
53882,Women Tops & Tunics,round neck,casual,
53884,Women Tops & Tunics,round neck,casual,
53886,Women Tops & Tunics,sweetheart neck,casual,
53888,Women Tops & Tunics,round neck,casual,
53900,Women Tops & Tunics,round neck,casual,
53902,Women Tops & Tunics,round neck,casual,
53904,Women Tops & Tunics,round neck,casual,
53906,Women Tops & Tunics,round neck,casual,
53907,Women Tops & Tunics,round neck,casual,
53912,Women Tops & Tunics,round neck,casual,
53917,Women Tops & Tunics,round neck,casual,
53927,Women Tops & Tunics,default,casual,
53929,Women Tops & Tunics,round neck,casual,
53936,Women Tops & Tunics,high,casual,
53938,Women Tops & Tunics,default,casual,
53945,Women Tops & Tunics,round neck,casual,
53946,Women Tops & Tunics,default,casual,
53954,Women Tops & Tunics,round neck,casual,
53956,Women Tops & Tunics,round neck,casual,
53966,Women Tops & Tunics,round neck,casual,
53971,Women Tops & Tunics,square neck,casual,
53974,Women Tops & Tunics,round neck,casual,
53983,Women Tops & Tunics,v-neck,casual,
53986,Women Tops & Tunics,round neck,casual,
53988,Women Tops & Tunics,round neck,casual,
53994,Women Tops & Tunics,default,casual,
53997,Women Tops & Tunics,round neck,casual,
54001,Women Tops & Tunics,square neck,casual,
54002,Women Tops & Tunics,round neck,casual,
54004,Women Tops & Tunics,sweetheart neck,casual,
54011,Women Tops & Tunics,v-neck,casual,
54017,Women Tops & Tunics,round neck,casual,
54018,Women Tops & Tunics,round neck,casual,
54022,Women Tops & Tunics,round neck,casual,
54035,Women Tops & Tunics,round neck,casual,
54036,Women Tops & Tunics,round neck,casual,
54041,Women Tops & Tunics,round neck,casual,
54049,Women Tops & Tunics,v-neck,casual,
54064,Women Tops & Tunics,default,casual,
54084,Women Tops & Tunics,round neck,casual,
54090,Women Tops & Tunics,sweetheart neck,casual,
54094,Women Tops & Tunics,round neck,casual,
54095,Women Tops & Tunics,square neck,casual,
54096,Women Tops & Tunics,round neck,casual,
54100,Women Tops & Tunics,round neck,casual,
54103,Women Tops & Tunics,round neck,casual,
54104,Women Tops & Tunics,round neck,casual,
54114,Women Tops & Tunics,round neck,casual,
54119,Women Tops & Tunics,high,casual,
54123,Women Tops & Tunics,default,casual,
54127,Women Tops & Tunics,round neck,casual,
54130,Women Tops & Tunics,round neck,casual,
54137,Women Tops & Tunics,stylised,casual,
54146,Women Tops & Tunics,round neck,casual,
54150,Women Tops & Tunics,round neck,casual,
54158,Women Tops & Tunics,round neck,casual,
54160,Women Tops & Tunics,default,casual,
54162,Women Tops & Tunics,round neck,casual,
54178,Women Tops & Tunics,stylised,casual,
54181,Women Tops & Tunics,high,casual,
54184,Women Tops & Tunics,square neck,casual,
54185,Women Tops & Tunics,square neck,casual,
54189,Women Tops & Tunics,round neck,casual,
54200,Women Tops & Tunics,high,casual,
54204,Women Tops & Tunics,sweetheart neck,casual,
54206,Women Tops & Tunics,default,casual,
54207,Women Tops & Tunics,round neck,casual,
54208,Women Tops & Tunics,default,casual,
54210,Women Tops & Tunics,default,casual,
54215,Women Tops & Tunics,high,casual,
54216,Women Tops & Tunics,round neck,casual,
54220,Women Tops & Tunics,v-neck,casual,
54231,Women Tops & Tunics,high,casual,
54232,Women Tops & Tunics,round neck,casual,
54242,Women Tops & Tunics,round neck,casual,
54249,Women Tops & Tunics,round neck,casual,
54250,Women Tops & Tunics,round neck,casual,
