id,Category,neck,sleeve_length
4332,Men Tshirts,,short sleeves
4356,Men Tshirts,round,
4366,Men Tshirts,round,
4380,Men Tshirts,,short sleeves
4391,Men Tshirts,round,
4413,Men Tshirts,,short sleeves
4485,Men Tshirts,,short sleeves
4502,Men Tshirts,round,
4503,Men Tshirts,,short sleeves
4504,Men Tshirts,,long sleeves
4505,Men Tshirts,,short sleeves
4508,Men Tshirts,,short sleeves
4510,Men Tshirts,,long sleeves
4532,Men Tshirts,round,
4536,Men Tshirts,,short sleeves
4554,Men Tshirts,polo,
4572,Men Tshirts,polo,
4640,Men Tshirts,,short sleeves
4686,Men Tshirts,,short sleeves
4758,Men Tshirts,polo,
4772,Men Tshirts,,short sleeves
4773,Men Tshirts,round,
4779,Men Tshirts,,short sleeves
4787,Men Tshirts,round,
4841,Men Tshirts,round,
4844,Men Tshirts,round,
4847,Men Tshirts,,short sleeves
4848,Men Tshirts,,short sleeves
4872,Men Tshirts,,short sleeves
4885,Men Tshirts,,short sleeves
4960,Men Tshirts,round,
4964,Men Tshirts,,long sleeves
5077,Men Tshirts,round,
5106,Men Tshirts,round,
5124,Men Tshirts,round,
5284,Men Tshirts,polo,
5335,Men Tshirts,round,
5341,Men Tshirts,round,
5419,Men Tshirts,round,
5458,Men Tshirts,round,
5459,Men Tshirts,,short sleeves
5462,Men Tshirts,,short sleeves
5480,Men Tshirts,round,
5529,Men Tshirts,,short sleeves
5536,Men Tshirts,,short sleeves
5605,Men Tshirts,,short sleeves
5639,Men Tshirts,,short sleeves
5644,Men Tshirts,,short sleeves
5665,Men Tshirts,,short sleeves
5683,Men Tshirts,,short sleeves
5697,Men Tshirts,,short sleeves
5708,Men Tshirts,,short sleeves
5738,Men Tshirts,,short sleeves
5794,Men Tshirts,,short sleeves
5826,Men Tshirts,,short sleeves
5829,Men Tshirts,,short sleeves
5833,Men Tshirts,,short sleeves
5841,Men Tshirts,,short sleeves
5891,Men Tshirts,,short sleeves
5910,Men Tshirts,,short sleeves
5922,Men Tshirts,,short sleeves
6013,Men Tshirts,,short sleeves
6014,Men Tshirts,,short sleeves
6018,Men Tshirts,,short sleeves
6023,Men Tshirts,,short sleeves
6046,Men Tshirts,,short sleeves
6127,Men Tshirts,,short sleeves
6146,Men Tshirts,,short sleeves
